Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: cj0519stt03.csv,,,,,,,,,,,,,
"Table 3. The 50 largest local jail jurisdictions, midyear 2019",,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2005, 2013, and 2019",,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 3. The 50 largest local jail jurisdictions, midyear 2019",,,,,,,,,,,,,
,,,,,Change ,,,,,,,,
,,Inmates in custody,,,Number ,,,Percent ,,,,,
Jail jurisdiction,,2005/a,2013/b,2019/a,2005–2013,2013–2019,2005–2019,2005–2013,,2013–2019,,2005–2019,
,U.S. total/c,"747,530","731,570","734,470","-15,960","2,900","-13,060",-2.1,%,0.4,%,-1.7,%
50 largest local jail jurisdictions,,,,,,,,,,,,,
,Estimated/c,"215,270","198,600","180,700","-16,670","-17,900","-34,570",-7.7,%,-9,%,-16.1,%
,Reported,"215,273","189,509","173,966",:,:,:,:,,:,,:,
"Los Angeles County, CA",,"19,732","18,750","17,385",-982,"-1,365","-2,347",-5,%,-7.3,%,-11.9,%
"Harris County, TX",,"9,031","8,167","8,883",-864,716,-148,-9.6,,8.8,,-1.6,
"Maricopa County, AZ",,"9,584","7,482","7,873","-2,102",391,"-1,711",-21.9,,5.2,,-17.9,
"New York City, NY",,"13,153","12,263","7,341",-890,"-4,922","-5,812",-6.8,,-40.1,,-44.2,
"San Diego County, CA",,"5,186","5,931","5,959",745,28,773,14.4,,0.5,,14.9,
"Cook County, IL",,"9,872","9,799","5,666",-73,"-4,133","-4,206",-0.7,,-42.2,,-42.6,
"San Bernardino County, CA/d",,"5,753", / ,"5,623",/,/,-130,/,,/,,-2.3,
"Orange County, CA",,"6,493","6,828","5,480",335,"-1,348","-1,013",5.2,,-19.7,,-15.6,
"Dallas County, TX",,"7,392","5,908","4,817","-1,484","-1,091","-2,575",-20.1,,-18.5,,-34.8,
"Shelby County, TN",,"5,273","4,490","4,776",-783,286,-497,-14.8,,6.4,,-9.4,
"Philadelphia City, PA",,"7,769","8,186","4,670",417,"-3,516","-3,099",5.4,,-43,,-39.9,
"Miami-Dade County, FL",,"6,558","4,563","4,302","-1,995",-261,"-2,256",-30.4,,-5.7,,-34.4,
"Tarrant County, TX",,"3,393","3,048","4,144",-345,"1,096",751,-10.2,,36,,22.1,
"Bexar County, TX",,"4,109","3,452","3,963",-657,511,-146,-16,,14.8,,-3.6,
"Riverside County, CA",,"3,188","3,929","3,796",741,-133,608,23.2,,-3.4,,19.1,
"Broward County, FL",,"5,618","4,854","3,758",-764,"-1,096","-1,860",-13.6,,-22.6,,-33.1,
"Clark County, NV",,"3,173","3,758","3,749",585,-9,576,18.4,,-0.2,,18.2,
"Sacramento County, CA",,"3,985","4,155","3,546",170,-609,-439,4.3,,-14.7,,-11,
"Hillsborough County, FL",,"4,729","2,712","3,302","-2,017",590,"-1,427",-42.7,,21.8,,-30.2,
"Santa Clara County, CA",,"4,789","3,965","3,200",-824,-765,"-1,589",-17.2,,-19.3,,-33.2,
"Jacksonville City, FL",,"3,580","3,339","3,199",-241,-140,-381,-6.7,,-4.2,,-10.6,
"Fresno County, CA",,"2,836","3,017","3,090",181,73,254,6.4,,2.4,,9,
"Pinellas County, FL",,"3,600","2,754","3,019",-846,265,-581,-23.5,,9.6,,-16.1,
"Fulton County, GA/d",,"3,202", / ,"2,945",/,/,-257,/,,/,,-8,
"Allegheny County, PA",,"2,856","2,492","2,720",-364,228,-136,-12.7,,9.1,,-4.8,
"Polk County, FL/e",,"2,877","2,346", / ,-531,/,/,-18.5,,/,,/,
"Gwinnett County, GA",,"3,016","2,335","2,603",-681,268,-413,-22.6,,11.5,,-13.7,
"Orange County, FL",,"3,735","2,799","2,530",-936,-269,"-1,205",-25.1,,-9.6,,-32.3,
"Alameda County, CA",,"4,083","3,322","2,458",-761,-864,"-1,625",-18.6,,-26,,-39.8,
"El Paso County, TX",,"2,291","2,146","2,279",-145,133,-12,-6.3,,6.2,,-0.5,
"Marion County, IN",,"2,717","2,049","2,204",-668,155,-513,-24.6,,7.6,,-18.9,
"Southwest Virginia Regional Jail Authority, VA/f",, -- ,"1,729","2,181",/,452,/,/,,26.1,,/,
"Cuyahoga County, OH",,"2,023","1,844","2,179",-179,335,156,-8.8,,18.2,,7.7,
"Davidson County, TN",,"3,246","3,622","2,168",376,"-1,454","-1,078",11.6,,-40.1,,-33.2,
"Salt Lake County, UT",,"2,031","1,953","2,153",-78,200,122,-3.8,,10.2,,6,
"Franklin County, OH",,"2,726","2,349","2,124",-377,-225,-602,-13.8,,-9.6,,-22.1,
