Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: cj0519stt21.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21. Functions of local jails, by state, midyear 2019",,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21. Functions of local jails, by state, midyear 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,Percent of jail facilities that provide—,,,,,,,,,,,,,,,,,,,,,
State/a,,Number of jail facilities that reported data on functions/b,General confinement of adults,,Confinement of persons returned to custody/c,,Work release/prerelease,,Reception/diagnosis/classification,,Confinement of juveniles,,Medical treatment/hospitalization,,Mental health/psychiatric care,,Alcohol treatment ,,Drug treatment,,Boot camp,,Protective custody,
,U.S. total,"2,853",99.3,%,94.9,%,52.5,%,53.4,%,11.1,%,21.5,%,26.1,%,15.5,%,16.9,%,0.3,%,37.7,%
Northeast,,179,96.8,%,95.7,%,66.7,%,76.3,%,21.2,%,32.9,%,45.7,%,34.3,%,34.3,%,0.6,%,57.2,%
,Maine,13,93.3,,93.3,,93.3,,93.3,,0,,51.2,,82.3,,58,,58,,0,,62.2,
,Massachusetts,18,100,,88.9,,72.2,,77.8,,5.6,,27.8,,55.6,,50,,50,,0,,50,
,New Hampshire,10,100,,100,,100,,100,,0,,50,,50,,50,,50,,0,,100,
,New Jersey,15,94.3,,94.3,,47.1,,81.4,,7.1,,57,,75.6,,41.4,,41.4,,0,,87.1,
,New York,52,100,,100,,24.5,,77.9,,28.3,,21.7,,32.1,,20.6,,20.6,,2,,50.2,
,Pennsylvania,71,94.4,,94.4,,91.7,,66.7,,30.6,,30.6,,38,,31.9,,31.9,,0,,50,
Midwest,,916,99.9,%,96.5,%,66.6,%,55.8,%,9,%,15.4,%,19.8,%,12.2,%,13.9,%,0.3,%,30.2,%
,Illinois,90,100,,97.8,,85.7,,65.6,,3.3,,19.8,,23.1,,15.4,,18.8,,2.2,,28.5,
,Indiana,88,100,,97.7,,35.4,,46.9,,8.3,,32.3,,39.4,,31.4,,32.4,,0,,48.7,
,Iowa,91,100,,97.8,,88,,50.6,,32.9,,5.6,,16.6,,2.2,,3.2,,0,,19.9,
,Kansas,88,100,,100,,45.1,,37.2,,3.3,,17.8,,16.5,,6.8,,5.7,,0,,38.3,
,Michigan,76,100,,100,,84.8,,73.8,,9,,31.6,,34.1,,17.2,,18.4,,0,,32.4,
,Minnesota,78,100,,98.8,,95,,78.4,,12.8,,12.6,,16.5,,8.9,,10.1,,0,,29.3,
,Missouri,101,100,,96.1,,38.7,,17.9,,0.9,,9,,9,,7,,12.8,,0,,38.4,
,Nebraska,57,100,,96.5,,80.5,,54.4,,0,,5.4,,8.8,,1.8,,1.8,,0,,15.6,
,North Dakota,23,95.7,,100,,87,,60.9,,0,,8.7,,4.3,,4.3,,4.3,,0,,8.7,
,Ohio,128,100,,86.3,,40.1,,70.5,,6.3,,12.6,,19.9,,19.2,,19.2,,0,,20.6,
