Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t11.csv,,,,,,,,,,,,,
"Table 11. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2010",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2010",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 11. Allegations of sexual victimization reported by privately operated jail and prison authorities, by type of victimization, 2010",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
Jurisdiction and facility,,Average daily population,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
,,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"68,740",99,7,,55,6,,89,13,,51,6
Arizona,,,,,,,,,,,,,
,Arizona State Prison - Kingman (MTC)/a,"2,159",1,0,,0,0,,0,0,,/,/
,Eloy Det. Ctr. (CCA) ,"1,490",3,0,,4,0,,0,0,,0,0
California,,,,,,,,,,,,,
,California City Corr. Ctr. (CCA) ,"1,711",1,0,,0,0,,0,0,,1,0
,Desert View Modified Comm. Corr. Fac. (GEO),620,0,0,,0,0,,0,0,,1,0
,"Vinewood Comm. Corr. (CA DOC)/a,b,c",61,0,0,,/,/,,1,1,,/,/
Colorado,,,,,,,,,,,,,
,Bent Co. Corr. Fac. (CCA),"1,376",0,0,,0,0,,0,0,,2,1
,Crowley Co. Corr. Fac. (CCA) ,"1,650",0,0,,1,1,,3,1,,0,0
,Kit Carson Co. Corr. Ctr. (CCA)/c,823,2,0,,/,/,,1,1,,1,0
Florida,,,,,,,,,,,,,
,Bay Corr. Inst. (CCA),979,0,0,,0,0,,2,0,,0,0
,Citrus C (CCA) ,570,0,0,,1,1,,0,0,,0,0
,"Gadsden Corr. Fac. (MTC, CCA)/d","1,525",1,0,,1,0,,4,1,,3,0
,South Bay Corr. Fac. (GEO)/c,"1,858",2,0,,/,/,,0,0,,0,0
Georgia,,,,,,,,,,,,,
,Coffee Corr. Fac. (CCA),"2,241",3,0,,3,0,,0,0,,5,1
,D. Ray James Prison (GEO)/d,"2,017",2,0,,5,0,,3,0,,5,0
,Dismas House - Atlanta Community Corr. Ctr. (DC) ,530,4,0,,0,0,,3,0,,0,0
,McRae Corr. Fac. (CCA) ,"1,740",0,0,,1,0,,1,0,,0,0
,Wheeler Corr. Fac. (CCA) ,"2,214",2,0,,1,0,,0,0,,0,0
Idaho,,,,,,,,,,,,,
,Idaho Corr. Fac. (CCA) ,"2,031",6,0,,0,0,,4,1,,0,0
Illinois,,,,,,,,,,,,,
,Substance Abuse Svs. (The H Group) ,52,0,0,,0,0,,0,0,,1,1
Indiana,,,,,,,,,,,,,
,Marion Co. Jail II (CCA) ,"1,022",1,0,,1,0,,0,0,,0,0
Kansas,,,,,,,,,,,,,
,Leavenworth (CCA),854,5,0,,0,0,,0,0,,3,0
Kentucky,,,,,,,,,,,,,
,Lee Adjustment Ctr. (CCA),644,1,0,,3,1,,4,0,,3,0
,Marion Adjustment Ctr. (CCA) ,808,0,0,,1,1,,10,3,,0,0
Louisiana,,,,,,,,,,,,,
,Allen Corr. Ctr. (GEO) ,"1,457",1,0,,0,0,,0,0,,0,0
,Winn Corr. Ctr. (CCA),"1,458",2,0,,0,0,,2,1,,1,0
Mississippi,,,,,,,,,,,,,
,Delta Corr. Fac. (CCA) ,"1,015",1,0,,1,0,,0,0,,0,0
,East Mississippi Corr. Fac. (GEO),"1,332",2,1,,0,0,,0,0,,0,0
,Grenada Co. (MS DOC) ,182,0,0,,0,0,,0,0,,1,0
,Walnut Grove Corr. Fac. (GEO)/c,"1,117",5,1,,/,/,,3,1,,0,0
,Wilkinson Co. Corr. Ctr. (CCA) ,929,1,0,,0,0,,1,0,,1,0
Montana,,,,,,,,,,,,,
,"Comm. Counseling & Corr. Svs., Inc. (CCCS) ",190,1,0,,0,0,,0,0,,0,0
,Crossroads Corr. Ctr. (CCA),625,4,0,,0,0,,5,0,,1,0
,WATCh East (CCCS),106,1,0,,0,0,,0,0,,0,0
New Mexico,,,,,,,,,,,,,
,Cibola Co. Corr. Ctr. (CCA)/c,"1,156",0,0,,/,/,,0,0,,1,0
,Lea Co. Corr. Fac. (GEO)/c,"1,025",2,0,,/,/,,1,1,,0,0
,New Mexico Women’s Corr. Fac. (CCA)/c,603,1,0,,/,/,,2,0,,0,0
Ohio,,,,,,,,,,,,,
,Harbor Light (Salvation Army)/c,171,0,0,,/,/,,3,0,,2,1
,Lake Erie Corr. Inst. (MTC),"1,495",0,0,,1,0,,0,0,,0,0
,Northeast Ohio Corr. Ctr. (CCA),"2,024",1,0,,1,0,,4,0,,1,0
Oklahoma,,,,,,,,,,,,,
,Cimarron Corr. Fac. (CCA),649,1,0,,1,0,,2,0,,4,0
,"David L. Moss Criminal Justice Ctr. (Tulsa Co., CCA)","1,548",1,0,,3,0,,1,0,,0,0
,Davis Corr. Fac. (CCA) ,"1,589",4,1,,2,1,,2,0,,0,0
,Lawton Corr. Fac. (GEO),"2,477",16,4,,8,0,,5,2,,0,0
Pennsylvania,,,,,,,,,,,,,
,George W. Hill Corr. Fac. (CEC)/c,"1,699",2,0,,/,/,,0,0,,3,1
Tennessee,,,,,,,,,,,,,
,Hardeman Co. (CCA) ,"1,966",6,0,,5,1,,5,0,,0,0
,Silverdale Corr. Fac. (CCA),913,2,0,,5,0,,2,0,,1,0
,South Central Corr. Ctr. (CCA) ,"1,627",7,0,,0,0,,2,0,,0,0
,West Tennessee Det. Fac. (CCA) ,549,1,0,,1,0,,2,0,,3,0
,Whiteville Corr. Fac. (CCA)/e,"1,492",1,0,,2,0,,5,0,,4,1
Texas,,,,,,,,,,,,,
,Big Spring Corr. Ctr. (GEO)/c,"3,485",0,0,,/,/,,0,0,,1,0
,Dalby Corr. Ctr. (MTC) ,"1,900",0,0,,0,0,,3,0,,0,0
,Eden Corr. Ctr. (CCA),"1,537",0,0,,0,0,,2,0,,0,0
,Houston-Reid Ctr. (GEO),495,0,0,,1,0,,0,0,,0,0
,Val Verde Corr. Fac. & Co. Jail,"1,275",1,0,,1,0,,0,0,,0,0
Virginia,,,,,,,,,,,,,
,Lawrenceville Corr. Ctr. (GEO) ,"1,574",1,0,,1,0,,1,0,,0,0
Wyoming,,,,,,,,,,,,,
,Campbell Co. Corr. Fac. (VOA),105,0,0,,0,0,,0,0,,2,0
CCA - Corrections Corp. of America,,,,,,,,,,,,,
"CCCS - Community Counseling & Corr. Services, Inc.   ",,,,,,,,,,,,,
"CEC - Community Education Centers, Inc.",,,,,,,,,,,,,
DC - Dismas Charities (operates as Diersen Charities in New Mexico and Tennessee),,,,,,,,,,,,,
DOC - Department of Corrections,,,,,,,,,,,,,
"GEO - The GEO Group, Inc.",,,,,,,,,,,,,
MTC - Management & Training Corp.,,,,,,,,,,,,,
VOA - Volunteers of America,,,,,,,,,,,,,
/ Not reported.,,,,,,,,,,,,,
a/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,
b/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,
d/Average daily population was imputed.,,,,,,,,,,,,,
e/Counts of staff sexual misconduct were based on substantiated allegations only.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2010.",,,,,,,,,,,,,
