Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t06.csv,,,,,,,,,,,,,
"Table 6. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2009",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 6. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2009",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
Jurisdiction and facility,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"335,112",414,49,,164,32,,294,67,,60,9
Alabama,,,,,,,,,,,,,
,"Houston Co./a,b",480,1,1,,/,/,,0,0,,/,/
,Mobile Co.,"1,252",1,0,,0,0,,0,0,,0,0
Alaska,,,,,,,,,,,,,
,Kotzebue Reg. Jail,15,0,0,,0,0,,1,0,,0,0
Arizona,,,,,,,,,,,,,
,"Gila Co./a,b",153,1,0,,/,/,,0,0,,/,/
,Maricopa Co.,"8,624",6,0,,7,1,,11,0,,10,0
,Pima Co. ,"1,826",1,0,,0,0,,0,0,,0,0
,Yavapi Co. ,492,0,0,,1,1,,0,0,,0,0
Arkansas,,,,,,,,,,,,,
,Craighead Co. Det. Ctr.,348,0,0,,1,0,,0,0,,0,0
California,,,,,,,,,,,,,
,"Alameda Co./a,b","4,395",1,1,,/,/,,1,1,,/,/
,Contra Costa Co./b,"1,695",2,1,,1,1,,1,0,,/,/
,El Dorado Co.,358,0,0,,0,0,,1,0,,0,0
,Fresno Co. ,"2,736",8,0,,0,0,,3,0,,0,0
,Kern Co. ,"2,277",0,0,,0,0,,2,2,,1,0
,Los Angeles Co./a,"19,080",14,2,,/,/,,1,1,,1,1
,Orange Co./b,"5,550",0,0,,0,0,,4,2,,/,/
,Rio Consumnes Corr. Ctr. ,"2,195",1,0,,1,0,,0,0,,0,0
,Riverside Co.,"3,558",6,1,,0,0,,1,1,,0,0
,Sacramento Co. ,"4,302",1,0,,1,1,,0,0,,0,0
,San Bernardino Co. West Valley Det. Ctr. ,"6,080",0,0,,0,0,,2,1,,0,0
,San Diego Co.,"4,991",2,0,,0,0,,2,0,,0,0
,San Francisco Co. & City,"1,971",1,0,,5,0,,3,0,,1,0
,San Joaquin Co.,"1,467",1,0,,1,0,,1,0,,0,0
,San Luis Obispo Co.,563,1,0,,0,0,,0,0,,0,0
,Santa Barbara Co.,"1,267",1,0,,1,0,,0,0,,0,0
,Santa Clara Co./a,"3,874",3,2,,/,/,,2,1,,3,2
,Solano Co. ,947,1,0,,1,0,,0,0,,0,0
,Sonoma Co. Main Adult Det. Fac./b,"1,022",0,0,,1,1,,0,0,,/,/
,Ventura Co.,807,0,0,,1,1,,0,0,,0,0
Colorado,,,,,,,,,,,,,
,Denver Co. ,"1,926",1,0,,0,0,,0,0,,0,0
,"Douglas Co./a,b",323,1,1,,/,/,,0,0,,/,/
,Jefferson Co./b,"1,386",3,0,,3,0,,3,0,,/,/
,La Plata Co. ,124,1,0,,0,0,,0,0,,0,0
,Larimer Co. Det. Ctr.,469,0,0,,1,0,,0,0,,0,0
District of Columbia,,,,,,,,,,,,,
,District of Columbia,"1,907",5,0,,5,0,,0,0,,0,0
Florida,,,,,,,,,,,,,
,Brevard Co.,"1,481",2,0,,1,0,,1,0,,0,0
,Broward Co. Det. Ctr.,"4,888",1,0,,1,0,,11,0,,0,0
,"DeSoto Co./a,b",184,1,0,,/,/,,0,0,,/,/
,Escambia Co. ,"1,562",1,0,,1,0,,1,0,,0,0
,Jacksonville City,"3,830",4,3,,3,1,,0,0,,0,0
,Lake Co. Det. Ctr./c,"1,035",1,0,,0,0,,0,0,,0,0
,Lee Co./c,"1,900",0,0,,0,0,,2,0,,0,0
,Manatee Co.,"1,165",1,0,,0,0,,1,0,,0,0
,Miami-Dade Co. Corr. & Rehab ,"6,051",4,0,,0,0,,19,5,,1,0
,Okeechobee Co./a,244,0,0,,/,/,,1,1,,0,0
,Orange Co. ,"3,836",1,0,,4,2,,3,0,,0,0
,Osceola Co./a,"1,047",1,0,,/,/,,0,0,,0,0
,Palm Beach Co.,"2,755",3,0,,0,0,,5,2,,0,0
,Pasco Co.,"1,301",1,0,,2,0,,2,0,,0,0
,"Pinellas Co./a,b","3,192",3,0,,/,/,,0,0,,/,/
,Polk Co. ,"2,327",9,1,,2,1,,1,1,,1,0
,Sarasota Co. ,871,0,0,,0,0,,2,0,,1,1
,Seminole Co. John E. Polk Corr. Fac. ,961,3,0,,0,0,,0,0,,0,0
,St. Lucie Co.,"1,383",9,0,,0,0,,0,0,,0,0
,Volusia Co. Division of Corr.,"1,385",3,0,,2,1,,0,0,,0,0
Georgia,,,,,,,,,,,,,
,Atlanta City Det. Ctr.,838,1,1,,0,0,,4,0,,2,0
,Chatham Co.,"1,718",5,3,,1,1,,0,0,,0,0
,Clayton Co./a,"1,897",0,0,,/,/,,1,0,,0,0
,Columbia Co. Det. Ctr./a,239,1,1,,/,/,,0,0,,0,0
,"Dekalb Co./a,b","3,360",4,1,,/,/,,1,1,,/,/
