Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: ssvacf0911t17.csv,,,,,,,,,,,,,,
"Table 17. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2010",,,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2010",,,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Table 17. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2010",,,,,,,,,,,,,,
,,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,,Total,"19,551",11,1,,19,1,,11,2,,12,1
U.S. military,,,,,,,,,,,,,,
,,Total,"1,520",2,0,,3,1,,1,1,,0,0
,Office of Legal Policy - Air Force ,,46,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Army,,714,1,0,,1,0,,0,0,,0,0
,Office of Legal Policy - Marines ,,287,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Navy,,473,1,0,,2,1,,1,1,,0,0
U.S. Immigration and Customs,,,,,,,,,,,,,,
  Enforcement (ICE),,,,,,,,,,,,,,
,,Total,"17,318",8,0,,16,0,,10,1,,12,1
,Arizona,,,,,,,,,,,,,
,,ICE - Florence Svs. Processing Ctr.,"1,613",2,0,,0,0,,1,0,,0,0
,California,,,,,,,,,,,,,
,,ICE - El Centro Svs. Processing Ctr./a,455,0,0,,0,0,,0,0,,/,/
,,ICE - Mira Loma Det. Ctr.,"1,201",0,0,,0,0,,0,0,,0,0
,,ICE - San Diego Otay Det. Fac. ,"1,042",4,0,,4,0,,0,0,,8,0
,Colorado,,,,,,,,,,,,,
,,ICE - Denver Contract Det. Fac.,415,0,0,,0,0,,0,0,,0,0
,Florida,,,,,,,,,,,,,
,,ICE - Broward Transitional Ctr. (GEO),601,0,0,,0,0,,0,0,,0,0
,,ICE - Krome Svs. Processing Ctr. ,541,0,0,,0,0,,0,0,,0,0
,Georgia,,,,,,,,,,,,,
,,ICE - Stewart Det. Ctr.,"1,700",0,0,,1,0,,1,0,,2,0
,Louisiana,,,,,,,,,,,,,
,,ICE - LaSalle Det. Fac.,923,0,0,,0,0,,1,1,,0,0
,New Jersey,,,,,,,,,,,,,
,,ICE - Elizabeth Contract Det. Fac. ,246,0,0,,0,0,,1,0,,0,0
,New York,,,,,,,,,,,,,
,,ICE - Buffalo Fed. Det. Fac. ,606,0,0,,0,0,,0,0,,0,0
,Texas,,,,,,,,,,,,,
,,ICE - El Paso Svs. Processing Ctr. ,791,0,0,,7,0,,5,0,,0,0
,,ICE - Houston Contract Det. Fac. ,868,0,0,,3,0,,1,0,,1,1
,,ICE - Laredo Contract Det. Fac.,214,0,0,,0,0,,0,0,,0,0
,,"ICE - Otero Co. Processing Ctr./a,b","1,255",0,0,,/,/,,0,0,,/,/
,,ICE - Port Isabel Svs. Processing Ctr. ,885,1,0,,1,0,,0,0,,0,0
,,"ICE - South Texas Det. Complex/a,b","1,499",1,0,,/,/,,0,0,,/,/
,,ICE - Willacy Det. Ctr.,"1,255",0,0,,0,0,,0,0,,1,0
,Washington,,,,,,,,,,,,,
,,ICE - Tacoma Contract Det. Fac.,"1,208",0,0,,0,0,,0,0,,0,0
Jails in Indian country,,,,,,,,,,,,,,
,,Total,713,1,1,,0,0,,0,0,,0,0
,Arizona,,,,,,,,,,,,,
,,"Gila River Dept. of Rehab. & Supervision Adult/a,b",110,0,0,,/,/,,0,0,,/,/
,,Navajo Dept. of Corr. - Tuba City/c,14,0,0,,0,0,,0,0,,0,0
,,Navajo Dept. of Corr. - Window Rock,25,0,0,,0,0,,0,0,,0,0
,,San Carlos Dept. of Corr. & Rehab. - Adult & Juv. Det. ,111,0,0,,0,0,,0,0,,0,0
,,"Tohono O'odham Adult Det. Ctr./e,f,g",180,0,0,,/,/,,/,/,,/,/
,Colorado,,,,,,,,,,,,,
,,"Southern Ute P.D. & Adult Det./a,b",28,0,0,,/,/,,0,0,,/,/
,Montana,,,,,,,,,,,,,
,,Blackfeet Adult Det. Ctr.,12,1,1,,0,0,,0,0,,0,0
,Nebraska,,,,,,,,,,,,,
,,Omaha Tribal P.D. & Adult Det. ,25,0,0,,0,0,,0,0,,0,0
,New Mexico,,,,,,,,,,,,,
,,Laguna Tribal Police & Det. Ctr. ,45,0,0,,0,0,,0,0,,0,0
,North Dakota,,,,,,,,,,,,,
,,Turtle Mountain L.E. Adult Det.,13,0,0,,0,0,,0,0,,0,0
,South Dakota,,,,,,,,,,,,,
,,Kyle P.D. & Adult Det. ,26,0,0,,0,0,,0,0,,0,0
,Washington,,,,,,,,,,,,,
,,Nisqually Adult Corr.,70,0,0,,0,0,,0,0,,0,0
,Wisconsin,,,,,,,,,,,,,
,,Menominee Tribal Det. Fac./b,54,0,0,,/,/,,0,0,,0,0
/ Not reported.,,,,,,,,,,,,,,
a/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,
c/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,,
d/Agency did not record allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,
e/Agency did not record allegations of abusive sexual contact.,,,,,,,,,,,,,,
f/Agency did not record allegations of staff sexual misconduct.,,,,,,,,,,,,,,
g/Agency did not record allegations of staff sexual harassment.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2010.",,,,,,,,,,,,,,
