Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ssvacf0911t05.csv,,,,,,,,,,,,,
"Table 5. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2010",,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2010",,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 1/9/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 5. Allegations of sexual victimization reported by local jail authorities, by type of victimization, 2010",,,,,,,,,,,,,
,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
Jurisdiction and facility,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,Total,"307,608",455,59,,188,41,,290,39,,90,10
Alabama,,,,,,,,,,,,,
,Elmore Co. ,252,0,0,,0,0,,5,0,,5,0
,"Escambia Co./a,b",173,1,0,,/,/,,1,0,,/,/
,Macon Co.,9,0,0,,0,0,,2,0,,0,0
,Madison Co./a,"1,019",3,0,,/,/,,1,0,,0,0
Arizona,,,,,,,,,,,,,
,"Maricopa Co./a,b","7,555",19,6,,/,/,,4,0,,/,/
,Pima Co. ,"1,636",1,1,,0,0,,0,0,,0,0
,Yuma Co. ,579,0,0,,0,0,,0,0,,7,0
Arkansas,,,,,,,,,,,,,
,"Conway Co./a,b",43,0,0,,/,/,,2,0,,/,/
,Polk Co./a,24,0,0,,/,/,,1,0,,0,0
,Pope Co. Det. Ctr.,187,0,0,,0,0,,0,0,,2,0
,St. Francis Co.,93,1,0,,1,0,,0,0,,0,0
California,,,,,,,,,,,,,
,"Alameda Co./a,c","3,821",1,1,,/,/,,0,0,,0,0
,Fresno Co. ,"1,874",2,0,,1,0,,0,0,,0,0
,Kern Co. ,"2,319",2,2,,1,1,,2,0,,2,0
,Los Angeles Co./a,"16,624",16,0,,/,/,,1,0,,1,0
,Monterey Co. ,"1,048",1,0,,0,0,,0,0,,0,0
,Orange Co./a,"5,051",3,1,,/,/,,1,0,,0,0
,Riverside Co.,"3,253",4,1,,0,0,,0,0,,0,0
,San Bernardino Co. West Valley Det. Ctr. ,"5,803",3,3,,1,1,,0,0,,0,0
,San Diego Co.,"4,646",6,1,,0,0,,2,0,,0,0
,San Francisco Co. & City/a,"1,788",5,0,,/,/,,6,1,,0,0
,San Joaquin Co./c,"1,492",1,0,,1,0,,0,0,,0,0
,Santa Barbara Co.,978,0,0,,0,0,,1,1,,0,0
,Santa Clara Co.,"3,837",1,0,,1,0,,1,0,,1,0
,Shasta Co. ,227,1,0,,0,0,,0,0,,0,0
,Sonoma Co. Main Adult Det. Fac.,941,1,0,,0,0,,1,0,,0,0
,"Stanislaus Co./a,d,e","1,257",1,0,,/,/,,/,/,,/,/
,Ventura Co.,"1,586",2,1,,1,0,,0,0,,0,0
Colorado,,,,,,,,,,,,,
,Adams Co. Det. Fac.,"1,289",0,0,,1,1,,0,0,,0,0
,Arapahoe Co. ,"1,221",1,0,,2,0,,0,0,,0,0
,Denver Co. ,"2,098",0,0,,1,1,,0,0,,0,0
,El Paso Co.,"1,408",3,0,,12,0,,1,1,,0,0
,"Jefferson Co./a,b","1,103",3,0,,/,/,,0,0,,/,/
,"Larimer Co. Det. Ctr./a,b",489,1,0,,/,/,,0,0,,/,/
,Montezuma Co.,106,1,0,,0,0,,0,0,,0,0
District of Columbia,,,,,,,,,,,,,
,"District of Columbia/a,b","2,093",3,0,,/,/,,6,0,,/,/
Florida,,,,,,,,,,,,,
,"Alachua Co./a,f","1,074",3,0,,/,/,,0,0,,0,0
,Brevard Co./b,"1,585",2,0,,1,0,,0,0,,/,/
,Broward Co. Det. Ctr.,"4,498",2,0,,2,0,,7,0,,1,0
,Hillsborough Co./a,"3,277",3,0,,/,/,,0,0,,0,0
,Indian River Co. ,518,0,0,,1,0,,0,0,,0,0
,Jacksonville City,"3,932",7,2,,3,2,,0,0,,0,0
,"Lake Co. Det. Ctr./a,b","1,009",1,0,,/,/,,0,0,,/,/
,Manatee Co.,"1,074",7,0,,2,0,,1,0,,1,0
,Marion Co.,"1,648",1,1,,1,1,,0,0,,0,0
,Miami-Dade Co. Corr. & Rehab ,"5,961",5,0,,0,0,,15,1,,0,0
,Orange Co. ,"3,572",2,0,,1,0,,1,0,,0,0
,Osceola Co.,993,0,0,,0,0,,2,0,,0,0
,Palm Beach Co./a,"2,818",10,0,,/,/,,1,0,,1,0
,Pasco Co./b,"1,354",2,1,,1,0,,0,0,,/,/
,Polk Co. ,"2,194",6,0,,0,0,,3,0,,0,0
,St. Lucie Co.,"1,256",7,0,,0,0,,0,0,,0,0
,"Sumter Co./a,b",220,1,0,,/,/,,0,0,,/,/
,Volusia Co. Division of Corr.,"1,369",0,0,,0,0,,1,0,,1,0
Georgia,,,,,,,,,,,,,
,Berrien Co.,80,0,0,,0,0,,1,0,,0,0
,Chatham Co./a,"2,044",5,3,,/,/,,1,0,,0,0
,Clayton Co./b,"1,580",1,0,,0,0,,/,/,,/,/
,Cobb Co. Jail & Prison,"2,200",2,0,,1,0,,0,0,,0,0
,"Decatur Co. Prison/a,b",349,2,0,,/,/,,0,0,,/,/
,"Dekalb Co./a,b","3,383",1,0,,/,/,,0,0,,/,/
,Fulton Co./a,"2,882",12,0,,/,/,,0,0,,0,0
