Bureau of Justice Statistics,,,,,,,
Filename: ssvacf0911t14.csv,,,,,,,
"Table 14. Privately operated jail and prison authorities with no allegations of sexual victimization, 2010",,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,
"Data source: Survey of Sexual Violence, 2010",,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 1/8/14,,,,,,,
,,,,,,,
 ,,,,,,,
"Table 14. Privately operated jail and prison authorities with no allegations of sexual victimization, 2010",,,,,,,
,,,,,,,
Jurisdiction and facility,,Average daily population,,,,,
,Total,"37,966",,,,,
Alaska,,,,,,,
,Glacier Manor (Gastineau Human Svs.) ,86,,,,,
Arizona,,,,,,,
,Arizona State Prison - Florence West (GEO)/a,736,,,,,
,Arizona State Prison - Phoenix West (GEO),493,,,,,
,Marana Comm. Corr. Treatment Fac.,490,,,,,
,"Tuscon Res. Reentry Ctr. (Behavioral Systems Southwest)/a,b",53,,,,,
California,,,,,,,
,Central Valley Modified Comm. Corr. Fac. (GEO) ,606,,,,,
,Golden State Modified Comm. Corr. Fac. (GEO) ,603,,,,,
,Taft Corr. Inst. (MTC) ,"2,342",,,,,
Colorado,,,,,,,
,"Arapahoe Co. Res. Ctr. (CEC)/a,b",139,,,,,
,"Pueblo Comm. Corr. Svs., Inc.",80,,,,,
,The Phoenix Ctr. (CEC) ,214,,,,,
Connecticut,,,,,,,
,"Morris Therapeutic Shelter (Wellmore Behavioral Health)/a,b",21,,,,,
,Roger Sherman House (The Connection) ,55,,,,,
District of Columbia,,,,,,,
,"Hope Village (CCC)/a,b",314,,,,,
Florida,,,,,,,
,Bay Co. (CCA),885,,,,,
,"Hillsborough Co. Res. Reentry Ctr. (Goodwill Ind.-Suncoast, Inc.)",93,,,,,
,Lake City Corr. Fac. (CCA) ,887,,,,,
,"Moore Haven Corr. Fac. (GEO, CCA)/a,b,c",979,,,,,
,"Pompano Transit Ctr., male (FL DOC)",212,,,,,
,"Reentry of Ocala Work Release Ctr., male (Time for Freedom, Inc.)",129,,,,,
Illinois,,,,,,,
,North Lawndale Adult Transition Ctr. (Safer Foundation)/c,197,,,,,
Kentucky,,,,,,,
,Portland - Louisville (DC) ,216,,,,,
,"Two Rivers Treatment Ctr. (Transitions, Inc.)",60,,,,,
Louisiana,,,,,,,
,"St. Martin DePorres Res. Ctr. (Cinc, Inc.)",213,,,,,
Minnesota,,,,,,,
,"Bethel Work Release Program (The Duluth Bethel)/a,b",53,,,,,
Mississippi,,,,,,,
,"Marshall Co. Corr. Fac. (GEO)/a,b",907,,,,,
,Tallahatchie Co. Corr. Fac. (CCA)/d,"2,622",,,,,
New Jersey,,,,,,,
,Field House (VOA),29,,,,,
,Kintock,432,,,,,
