Bureau of Justice Statistics,,
Filename: ssvacf0911t08.csv,,
"Table 8. Local jail authorities with no allegations of sexual victimization, 2010",,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,
"Data source: Survey of Sexual Violence, 2010",,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 1/8/14,,
,,
 ,,
"Table 8. Local jail authorities with no allegations of sexual victimization, 2010",,
Jurisdiction and facility,,Average daily population
,Total,"145,916"
Alabama,,
,Birmingham City,166
,Blount Co. Corr. Fac.,140
,Citronelle City,3
,Coosa Co.,64
,"De Kalb Co./a,b",286
,"Hartselle City/a,b,c,d",8
,Homewood City,18
,Jefferson Co.,"1,239"
,"Lauderdale Co./a,b",157
,Lawrence Co. ,118
,Montgomery City,324
,Montgomery Co. ,513
,Opp City/a,5
,St. Clair Co./c,280
,Tallapoosa Co. ,176
,Wilcox Co.,54
,Winston Co.,45
Alaska,,
,Homer City,1
,Kotzebue Reg. Jail/a,13
Arizona,,
,Apache Co.,90
,La Paz Co. Adult Det. Fac. ,174
,Mohave Co. ,395
,Navajo Co.,334
,Pinal Co.,"1,204"
Arkansas,,
,Benton Co./b,478
,Crittenden Co./a,322
,Dallas Co. ,103
,Faulkner Co./c,279
,"Miller Co./a,b",220
,Randolph Co. ,32
,"Saline Co. Det. Fac./a,b,e",165
,Sevier Co./a,48
,"Warren City/a,b",3
California,,
,"Amador Co./a,b",92
,"Butte Co./a,b",548
,Contra Costa Co.,"1,725"
,Imperial Co. ,544
,Kings Co.,317
,Long Beach City,85
,Marin Co.,284
,Sacramento Co. ,"3,987"
,San Benito Co. ,126
,"San Mateo Co./a,b","1,037"
,Sierra Co. ,4
,Solano Co. ,850
,Tulare Co. ,"1,341"
,Yolo Co. Monroe Det. Ctr.,418
,Yuba Co. ,467
Colorado,,
,Clear Creek Co.,117
,"Delta Co./a,b",47
,Lincoln Co.,36
,Mesa Co./a,368
,"Montrose Co./a,b",99
,Sedgwick Co.,1
,Washington Co.,193
Florida,,
,Charlotte Co.,521
,"DeSoto Co./a,b",194
,"Dixie Co./a,b",74
,Escambia Co. ,"1,501"
,Glades Co./a,514
,Hamilton Co. ,64
,"Hardee Co./a,b",84
,Hendry Co.,231
,Highlands Co./a,408
,"Holmes Co./b,f",105
,Lee Co.,"1,766"
,Leon Co. Det. Fac. ,981
,Pinellas Co.,"3,171"
,Suwanee Co.,180
Georgia,,
,Baldwin Co.,256
,"Barrow Co. Det. Ctr./a,b",255
,Bartow Co. ,626
,Bibb Co. ,933
,Clarke Co. ,359
,Colquitt Co. ,238
,Crawford Co./a,16
,"Crisp Co./a,b",192
,Decatur Co./b,153
,"Douglas Co./a,b",798
,Early Co.,30
,"Effingham Co./a,b",164
,"Emanuel Co./a,b",110
,Grovetown City ,3
,Gwinnett Co. Comprehensive Corr. Complex ,497
,Harris Co. Prison,106
,Houston Co./a,495
,Jackson Co. Corr. Inst.,199
,Jones Co.,147
,Lamar Co.,130
,Lowndes Co.,670
,Lumpkin Co.,91
,Milledgeville City ,9
,Monroe Co./a,123
,Murray Co. ,128
,Muscogee Co.,"1,035"
,Pierce Co./a,49
,Putnam Co. ,103
,Richmond Co. Corr. Inst. ,215
,"South Fulton Municipal Reg. Jail - Union City/a,g",217
,"Spalding Co./a,b,c,h",436
,"Spalding Co. Prison/a,b,c,h",378
,Terrell Co. Prison ,136
,Thomas Co. Prison,188
,Troup Co. Prison ,361
,Worth Co./a,40
Idaho,,
,Bonner Co. ,90
,Clearwater Co. ,23
Illinois,,
,"Adams Co./a,c",110
,Carroll Co.,18
,Effingham Co.,62
,Knox Co. ,106
,Lasalle Co.,169
,Lawrence Co. ,20
,Marshall Co. ,7
,McDonough Co.,41
,"Peoria Co./a,b",498
,Perry Co./h,56
,St. Clair Co./c,483
,Stephenson Co.,119
,Vermilion Co.,252
,"White Co./c,d",80
,Whiteside Co.,109
Indiana,,
,Bartholomew Co.,162
,Boone Co.,147
,Clinton Co.,174
,Floyd Co.,294
,"Hamilton Co./a,h",326
,Jennings Co. ,147
,Lake Co./a,832
,Lawrence Co. ,150
,Madison Co.,250
,Marion Co. ,"1,134"
,Monroe Co.,245
,"Morgan Co./a,b",250
,"Posey Co./e,f,h,i",54
,Pulaski Co.,108
,Randolph Co. ,89
,"Tippecanoe Co./a,b",503
,"Vigo Co./a,c",287
,White Co.,110
,Whitley Co.,161
Iowa,,
,"Black Hawk Co./a,b",268
,Clinton Co.,42
,Hancock Co.,6
,Hardin Co./a,89
,Harrison Co./a,12
,Ida Co.,4
,"Mahaska Co./a,b,g",18
,Marion Co./a,18
,Polk Co. ,"1,018"
,Pottawattamie Co.,237
,Wayne Co.,10
Kansas,,
,Butler Co. ,233
,"Crawford Co./a,b",83
,Douglas Co./a,140
,Geary Co.,113
,Haskell Co.,5
,Jackson Co.,68
,Jefferson Co.,22
,Pratt Co.,19
,Sherman Co.,7
,Smith Co.,4
,Sumner Co. L.E. Ctr.,120
Kentucky,,
,Barren Co. Corr. Ctr.,149
,Big Sandy Reg. Det. Ctr. ,221
,Boone Co.,497
,Bourbon Co. Det. Ctr.,123
,"Campbell Co. Dention Ctr./a,b",530
,Casey Co. Det. Ctr.,300
,Clay Co. Det. Ctr. ,275
,Grayson Co. Det. Ctr.,550
,"Harlan Co. Det. Ctr./a,b,c",214
,Herman Ford Det. Ctr.,144
,Larue Co. Det. Ctr.,145
,Laurel Co. Det. Ctr. ,343
,"Lewis Co. Det. Ctr./a,b",72
,McCracken Co. Reg. Jail/a,440
,Meade Co. Det. Ctr.,140
,"Powell Co./a,b",215
,Rockcastle Co. Det. Ctr. ,99
,Todd Co. Det. Ctr. ,109
