Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: ssvacf0911t18.csv,,,,,,,,,,,,,,
"Table 18. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2009",,,,,,,,,,,,,,
"Report title: Survey of Sexual Violence in Adult Correctional Facilities, 2009-11 NCJ 244227",,,,,,,,,,,,,,
"Data source: Survey of Sexual Violence, 2009",,,,,,,,,,,,,,
"Author(s): Ramona R. Rantala, Jessica Rexroat, Allen J. Beck",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 1/8/14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Table 18. Allegations of sexual victimization reported by other correctional facility authorities, by type of victimization, 2009",,,,,,,,,,,,,,
,,,,Inmate-on-inmate,,,,,,Staff-on-inmate,,,,
,,,,Nonconsensual sexual acts,,,Abusive sexual contact,,,Sexual misconduct,,,Sexual harassment,
Jurisdiction and facility,,,Average daily population,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated,,Alleged,Substantiated
,,Total,"16,947",5,1,,4,2,,8,1,,1,0
U.S. military,,,,,,,,,,,,,,
,,Total,"1,595",1,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Air Force ,,50,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Army,,665,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Marines ,,384,0,0,,0,0,,0,0,,0,0
,Office of Legal Policy - Navy,,496,1,0,,0,0,,0,0,,0,0
U.S. Immigration and Customs Enforcement (ICE),,,,,,,,,,,,,,
,,Total,"14,609",4,1,,4,2,,8,1,,1,0
,Arizona,,,,,,,,,,,,,
,,ICE - Florence Svs. Processing Ctr./a,848,0,0,,/,/,,1,0,,0,0
,California,,,,,,,,,,,,,
,,ICE - El Centro Svs. Processing Ctr. ,480,0,0,,0,0,,0,0,,0,0
,,ICE - Mira Loma Det. Ctr./a,"1,000",0,0,,/,/,,0,0,,0,0
,,ICE - San Diego Otay Det. Fac. ,985,3,1,,3,2,,5,0,,0,0
,Colorado,,,,,,,,,,,,,
,,ICE - Denver Contract Det. Fac.,387,0,0,,1,0,,0,0,,0,0
,Florida,,,,,,,,,,,,,
,,ICE - Broward Transitional Ctr. (GEO),536,0,0,,0,0,,0,0,,0,0
,,"ICE - Krome Svs. Processing Ctr./a,b",587,1,0,,/,/,,0,0,,/,/
,Georgia,,,,,,,,,,,,,
,,ICE - Stewart Det. Ctr.,"1,622",0,0,,0,0,,0,0,,0,0
,Louisiana,,,,,,,,,,,,,
,,ICE - LaSalle Det. Fac.,408,0,0,,0,0,,1,1,,0,0
,New Jersey,,,,,,,,,,,,,
,,ICE - Elizabeth Contract Det. Fac. ,215,0,0,,0,0,,0,0,,0,0
,New York,,,,,,,,,,,,,
,,ICE - Buffalo Fed. Det. Fac. ,620,0,0,,0,0,,0,0,,1,0
,Texas,,,,,,,,,,,,,
,,ICE - El Paso Svs. Processing Ctr. ,760,0,0,,0,0,,1,0,,0,0
,,ICE - Houston Contract Det. Fac. ,874,0,0,,0,0,,0,0,,0,0
,,ICE - Laredo Contract Det. Fac.,267,0,0,,0,0,,0,0,,0,0
,,"ICE - Otero Co. Processing Ctr./a,b",842,0,0,,/,/,,0,0,,/,/
,,ICE - Port Isabel Svs. Processing Ctr. ,663,0,0,,0,0,,0,0,,0,0
,,ICE - South Texas Det. Complex ,"1,584",0,0,,0,0,,0,0,,0,0
,,ICE - Willacy Det. Ctr.,"1,000",0,0,,0,0,,0,0,,0,0
,Washington,,,,,,,,,,,,,
,,ICE - Tacoma Contract Det. Fac.,931,0,0,,0,0,,0,0,,0,0
Jails in Indian country,,,,,,,,,,,,,,
,,Total,743,0,0,,0,0,,0,0,,0,0
,Arizona,,,,,,,,,,,,,
,,Colorado River Indian Tribes Adult Det./c,67,0,0,,0,0,,0,0,,0,0
,,Navajo Dept. of Corr. - Chinle ,20,0,0,,0,0,,0,0,,0,0
,,Salt River Pima-Maricopa Dept. of Corr.,30,0,0,,0,0,,0,0,,0,0
,,San Carlos Dept. of Corr. & Rehab. - Adult & Juv. Det. ,118,0,0,,0,0,,0,0,,0,0
,,Tohono O’odham Adult Det. Ctr. ,173,0,0,,0,0,,0,0,,0,0
,Colorado,,,,,,,,,,,,,
,,Southern Ute P.D. & Adult Det. ,39,0,0,,0,0,,0,0,,0,0
,Nevada,,,,,,,,,,,,,
,,"Eastern Nevada L.E. Adult Det./a,b",11,0,0,,/,/,,0,0,,/,/
,New Mexico,,,,,,,,,,,,,
,,Acoma Tribal Police & Holding Fac. ,9,0,0,,0,0,,0,0,,0,0
,North Dakota,,,,,,,,,,,,,
,,Fort Totten L.E. & Adult Det. Ctr. ,45,0,0,,0,0,,0,0,,0,0
,South Dakota,,,,,,,,,,,,,
,,"Lower Brule Justice Ctr., Adult Det. ",31,0,0,,0,0,,0,0,,0,0
,Washington,,,,,,,,,,,,,
,,Colville Adult Det. Ctr. ,26,0,0,,0,0,,0,0,,0,0
,Wisconsin,,,,,,,,,,,,,
,,"Menominee Tribal Det. Fac./a,d",53,0,0,,/,/,,0,0,,0,0
/ Not reported.,,,,,,,,,,,,,,
a/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,
b/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct.,,,,,,,,,,,,,,
c/Agency did not record allegations of nonconsensual sexual acts.,,,,,,,,,,,,,,
d/Counts of nonconsensual sexual acts were based on substantiated allegations only.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Violence, 2009.",,,,,,,,,,,,,,
