Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt17.csv,,,,,,,,,,
"Table 17. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2014",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2014",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 17. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2014",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"334,561",938,61,654,117,637,28,291,19
Alabama,,,,,,,,,,
,Jefferson Co./a,"1,177",1,1,/,/,0,0,0,0
Alaska,,,,,,,,,,
,City of Unalaska,2,0,0,0,0,0,0,0,0
,Kodiak City,25,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co.,"7,999",50,0,34,2,30,1,19,2
,Pima Co.,"1,988",6,0,7,2,6,0,4,0
,Pinal Co.,902,6,0,6,1,1,0,1,0
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,"1,002",1,1,0,0,1,1,0,0
California,,,,,,,,,,
,Alameda Co.,"3,183",2,0,8,0,2,0,2,0
,Contra Costa Co.,"1,570",1,0,0,0,0,0,0,0
,Fresno Co.,"2,714",12,0,8,1,0,0,0,0
,Kern Co.,"2,585",10,0,8,2,5,0,1,0
,Los Angeles Co./b,"18,680",41,0,14,0,11,2,/,/
,Monterey Co.,964,2,0,0,0,0,0,0,0
,Orange Co.,"6,676",10,10,10,5,9,4,1,0
,Riverside Co.,"3,794",8,2,6,2,2,1,0,0
,"Sacramento Co., Main Jail","2,133",2,0,0,0,0,0,0,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","2,199",3,0,3,0,0,0,0,0
,San Bernardino Co.,"5,807",1,0,3,3,6,1,4,0
,San Diego Co./b,"5,231",35,3,8,0,9,0,/,/
,San Francisco,"1,278",7,2,0,0,0,0,/,/
,San Joaquin Co.,"1,406",11,0,0,0,1,0,1,0
,San Mateo Co.,"1,022",0,0,0,0,0,0,0,0
,"Santa Barbara Co./a,b","1,226",11,2,/,/,1,0,/,/
,Santa Clara Co./b,"4,124",1,1,1,0,0,0,/,/
,Sonoma Co./a,"1,035",9,0,/,/,3,0,1,0
,Stanislaus Co.,"1,164",5,2,7,0,3,0,1,0
,Tulare Co.,"1,698",0,0,0,0,2,0,0,0
,Ventura Co.,"1,680",0,0,1,0,1,0,1,0
Colorado,,,,,,,,,,
,"Adams Co./a,b","1,016",0,0,/,/,0,0,/,/
,Arapahoe Co.,"1,022",4,1,7,5,6,0,4,0
,Denver,"2,055",10,0,26,2,20,1,4,0
,El Paso Co.,"1,385",2,1,1,1,0,0,0,0
,Jefferson Co./b,"1,300",2,0,7,1,2,0,/,/
District of Columbia,,"1,385",0,0,21,1,9,1,20,4
Florida,,,,,,,,,,
,Alachua Co.,809,2,0,1,1,0,0,0,0
,Brevard Co.,"1,436",1,0,0,0,0,0,0,0
,Broward Co.,"4,503",3,0,3,0,10,0,2,0
,Escambia Co.,"1,276",4,0,0,0,0,0,0,0
,Hillsborough Co.,"2,799",0,0,0,0,0,0,0,0
,Jacksonville Co.,"3,518",6,0,1,0,3,0,0,0
,Lee Co.,"1,644",1,0,2,0,0,0,0,0
,Marion Co.,"1,375",4,0,6,1,3,0,3,0
,Miami-Dade Co. Corr. & Rehab.,"4,227",7,0,9,2,3,0,7,0
,Orange Co.,"2,963",3,0,1,0,3,0,0,0
,Osceola Co.,848,2,0,4,3,2,1,2,0
,"Palm Beach Co./a,b","2,134",24,2,/,/,5,0,/,/
,Pasco Co.,"1,432",8,0,0,0,1,0,1,0
,Pinellas Co.,"2,904",1,0,27,8,14,0,0,0
,Polk Co.,"2,463",4,0,8,3,1,0,0,0
,St. Lucie Co.,"1,271",10,0,1,0,0,0,0,0
,Volusia Co.,"1,248",0,0,4,0,3,0,0,0
Georgia,,,,,,,,,,
,Bibb Co.,895,0,0,0,0,0,0,0,0
,Chatham Co. Adult Det. Ctr.,"1,500",1,0,1,0,4,0,7,1
,"Clayton Co./a,b","1,526",1,0,/,/,0,0,/,/
,Cobb Co.,"1,778",2,0,3,0,0,0,0,0
,Dekalb Co./a,"2,374",4,0,/,/,1,0,0,0
,Fulton Co./a,"2,608",6,2,/,/,8,0,8,1
,Gwinnett Co./a,"2,183",3,0,/,/,2,0,1,0
,Muscogee Co. Jail,"1,153",1,0,9,4,3,0,0,0
Idaho,,,,,,,,,,
,Ada Co.,820,0,0,0,0,0,0,0,0
Illinois,,,,,,,,,,
,Cook Co.,"9,455",14,0,13,0,20,1,3,0
Indiana,,,,,,,,,,
,Marion Co.,"1,095",0,0,0,0,0,0,0,0
Iowa,,,,,,,,,,
,Polk Co./d,926,2,0,4,1,0,0,1,0
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,170",6,2,14,2,14,0,3,0
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co./a,"1,240",0,0,/,/,0,0,0,0
,Louisville Metropolitan,"1,851",14,2,23,2,11,0,4,0
Louisiana,,,,,,,,,,
,Avoyelles Parish,"1,262",0,0,0,0,0,0,0,0
,Bossier Parish,"1,400",1,0,0,0,2,0,2,0
,Caddo Parish/b,"1,133",19,1,3,3,9,0,/,/
,Calcasieu Parish,"1,270",0,0,0,0,0,0,0,0
,East Baton Rouge Parish,"1,504",7,2,3,2,0,0,1,1
,Jackson Parish Corr. Ctr.,"1,030",0,0,0,0,0,0,0,0
,Madison Parish Det. Ctr.,856,0,0,0,0,0,0,0,0
,Orleans Parish,"2,225",6,2,2,0,0,0,0,0
,Ouachita Parish Corr. Ctr.,"1,073",0,0,4,3,0,0,0,0
,Rapides Parish,980,3,2,0,0,0,0,1,1
,Richwood Corr. Ctr.,"1,076",0,0,1,0,3,0,1,0
,St. Tammany Parish,"1,067",1,0,1,0,0,0,0,0
Maine,,,,,,,,,,
,Cumberland Co.,494,0,0,0,0,0,0,0,0
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"3,192",8,0,0,0,2,0,1,0
,Baltimore Co.,"1,230",0,0,0,0,0,0,1,0
,Prince George’s Co.,"1,075",3,0,2,0,5,0,1,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,276",13,1,3,0,1,0,0,0
,"Essex Co./a,b","1,571",14,0,/,/,4,0,/,/
,Hampden Co. Corr. Ctr.,"1,436",0,0,19,10,0,0,0,0
,Plymouth Co./a,"1,154",16,3,/,/,4,0,4,0
,Suffolk Co. House of Corr.,"1,022",8,0,6,1,1,0,3,0
Michigan,,,,,,,,,,
,Kent Co./a,"1,045",16,2,/,/,0,0,2,0
,Macomb Co.,"1,189",3,1,0,0,0,0,0,0
,Oakland Co.,"1,520",2,0,7,0,4,1,0,0
,Wayne Co.,"2,069",4,1,7,1,0,0,0,0
Minnesota,,,,,,,,,,
,Hennepin Co./a,710,0,0,/,/,0,0,0,0
Mississippi,,,,,,,,,,
,Harrison Co.,705,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,740",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,230",0,0,0,0,6,1,0,0
Montana,,,,,,,,,,
,Yellowstone Co./a,460,0,0,/,/,0,0,0,0
Nebraska,,,,,,,,,,
,Douglas Co./a,"1,086",8,1,/,/,0,0,0,0
Nevada,,,,,,,,,,
,Clark Co.,"3,736",9,0,7,1,25,1,6,0
,Washoe Co.,"1,062",0,0,6,0,4,0,0,0
New Hampshire,,,,,,,,,,
,Hillsborough Co.,521,3,0,0,0,0,0,0,0
New Jersey,,,,,,,,,,
,Camden Co./a,"1,832",0,0,/,/,0,0,0,0
,Essex Co.,"2,835",2,0,2,1,1,0,2,0
,Hudson Co./a,"1,635",3,0,/,/,0,0,0,0
,Monmouth Co.,818,1,0,0,0,0,0,0,0
,Passaic Co.,"1,087",2,1,0,0,0,0,0,0
,Union Co.,756,2,0,0,0,0,0,0,0
New Mexico,,,,,,,,,,
,Bernalillo Co.,"1,906",12,0,1,1,17,4,10,0
New York,,,,,,,,,,
,Erie Co.,"1,160",3,0,2,1,2,0,3,0
,Monroe Co.,"1,382",2,1,3,3,0,0,0,0
,Nassau Co.,"1,369",0,0,0,0,0,0,0,0
,New York City,"10,948",35,0,9,0,77,0,12,0
,Suffolk Co.,"1,413",0,0,0,0,3,0,1,0
,Westchester Co./a,"1,215",5,0,/,/,13,0,9,0
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"2,284",0,0,1,0,4,0,4,0
,"Wake Co./a,b","1,240",1,0,/,/,0,0,/,/
North Dakota,,,,,,,,,,
,Cass Co.,243,0,0,0,0,2,1,0,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,188",12,0,6,1,18,1,3,0
,Franklin Co.,"1,904",6,0,1,0,0,0,0,0
,Hamilton Co.,"1,500",5,0,2,0,0,0,0,0
Oklahoma,,,,,,,,,,
