Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt18.csv,,,,,,,,,,
"Table 18. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2013",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 18. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2013",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"340,824",693,53,351,81,469,32,154,9
Alabama,,,,,,,,,,
,Jefferson Co.,"1,298",5,0,0,0,0,0,0,0
Alaska,,,,,,,,,,
,"City of Unalaska/a,b",2,0,0,/,/,0,0,/,/
Arizona,,,,,,,,,,
,Maricopa Co.,"8,099",25,1,20,0,44,1,7,1
,Pima Co.,"2,020",7,2,3,1,5,2,6,0
,Pinal Co.,"1,170",2,0,0,0,0,0,0,0
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac./a,"1,176",0,0,/,/,1,0,1,0
California,,,,,,,,,,
,Alameda Co.,"3,418",1,1,1,1,0,0,1,0
,"Contra Costa Co./a,b","1,497",0,0,/,/,0,0,/,/
,Fresno Co./b,"2,878",23,0,0,0,1,1,/,/
,Kern Co.,"2,554",2,0,0,0,3,1,1,0
,Los Angeles Co.,"19,071",35,0,10,0,4,0,0,0
,Monterey Co.,"1,063",0,0,0,0,0,0,0,0
,Orange Co./a,"6,960",16,6,/,/,5,2,0,0
,Riverside Co.,"3,608",2,0,5,2,0,0,0,0
,"Sacramento Co., Main Jail/a","2,109",2,0,/,/,0,0,1,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","2,039",1,0,0,0,0,0,0,0
,San Bernardino Co.,"5,841",1,1,0,0,0,0,0,0
,San Diego Co./c,"5,555",7,1,5,2,1,0,0,0
,San Francisco,"1,552",0,0,0,0,0,0,0,0
,San Joaquin Co.,"1,488",3,0,0,0,0,0,0,0
,San Mateo Co.,"1,047",0,0,0,0,0,0,0,0
,"Santa Clara Co./a,b","4,006",2,0,/,/,1,0,1,0
,Sonoma Co.,"1,086",0,0,3,3,2,0,0,0
,Stanislaus Co./a,"1,118",12,0,/,/,1,0,0,0
,Tulare Co.,"1,641",1,1,0,0,0,0,0,0
,Ventura Co.,"1,620",0,0,0,0,1,0,1,0
Colorado,,,,,,,,,,
,"Adams Co./a,b","1,053",1,0,/,/,1,0,/,/
,Arapahoe Co.,"1,076",0,0,9,1,0,0,1,0
,Denver/a,"2,080",11,1,/,/,8,0,2,0
,El Paso Co./a,"1,485",12,0,/,/,1,0,0,0
,Jefferson Co.,"1,238",2,0,5,3,0,0,0,0
District of Columbia/a,,"2,288",5,1,/,/,13,1,8,0
Florida,,,,,,,,,,
,Alachua Co.,859,3,0,1,0,0,0,0,0
,Brevard Co.,"1,424",0,0,1,0,0,0,0,0
,Broward Co.,"4,610",2,0,0,0,9,0,0,0
,"Escambia Co./a,b","1,351",4,0,/,/,0,0,/,/
,Hillsborough Co.,"2,895",0,0,0,0,0,0,0,0
,Jacksonville Co.,"3,441",9,1,2,0,0,0,0,0
,Lee Co.,"1,640",0,0,0,0,0,0,0,0
,Leon Co.,"1,022",1,0,0,0,1,0,0,0
,Manatee Co.,949,0,0,8,0,2,0,4,0
,Marion Co.,"1,479",0,0,4,1,0,0,0,0
,Miami-Dade Co. Corr. & Rehab./a,"4,676",23,1,/,/,12,0,3,0
,Orange Co.,"2,923",0,0,2,1,1,1,0,0
,"Palm Beach Co./a,b","2,395",12,2,/,/,0,0,/,/
,Pasco Co.,"1,475",1,0,0,0,1,0,0,0
,Pinellas Co.,"2,922",14,2,13,2,6,1,0,0
,Polk Co.,"2,463",6,1,5,3,3,0,0,0
,St. Lucie Co.,"1,212",6,1,0,0,0,0,0,0
,Volusia Co.,"1,484",4,1,0,0,1,0,0,0
Georgia,,,,,,,,,,
,Bibb Co.,886,0,0,0,0,0,0,0,0
,Chatham County Adult Det. Ctr.,"1,525",3,0,1,0,1,1,4,1
,Clayton Co.,"1,720",0,0,0,0,0,0,0,0
,Cobb Co./b,"1,984",0,0,1,1,2,2,/,/
,Dekalb Co.,"2,619",1,0,0,0,0,0,0,0
,"Fulton Co./a,b","2,281",8,0,/,/,12,0,/,/
,Gwinnett Co.,"2,180",0,0,0,0,0,0,0,0
,Muscogee Co. Jail,"1,132",3,1,6,2,0,0,2,0
Idaho,,,,,,,,,,
,Ada Co.,835,2,1,14,1,3,1,1,0
Illinois,,,,,,,,,,
,Cook Co.,"10,565",16,1,14,2,6,0,1,0
,Winnebago Co./a,959,2,0,/,/,0,0,0,0
Indiana,,,,,,,,,,
,Marion Co.,"1,101",5,0,4,0,6,1,0,0
Iowa,,,,,,,,,,
,Polk Co.,960,2,0,1,0,0,0,2,0
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,416",1,0,12,1,13,3,4,0
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co./a,"1,252",1,1,/,/,1,0,0,0
,Louisville Metropolitan,"2,483",12,0,11,4,5,0,0,0
Louisiana,,,,,,,,,,
,Avoyelles Parish,"1,230",0,0,0,0,0,0,0,0
,Bossier Parish,"1,245",1,0,1,0,0,0,0,0
,Caddo Parish,"1,035",5,0,0,0,0,0,0,0
,Calcasieu Parish,"1,347",0,0,0,0,0,0,0,0
,"East Baton Rouge Parish/a,b","1,580",21,4,/,/,0,0,/,/
,Jackson Parish Corr. Ctr.,"1,140",0,0,0,0,0,0,0,0
,Jefferson Parish,916,5,1,2,1,0,0,0,0
,Madison Parish Det. Ctr.,"1,088",0,0,0,0,0,0,0,0
,Orleans Parish,"2,475",9,2,8,1,1,0,1,0
,Ouachita Parish Corr. Ctr.,"1,050",11,0,1,0,0,0,0,0
,Rapides Parish,"1,164",0,0,0,0,0,0,0,0
,St. Tammany Parish,"1,009",0,0,1,0,1,0,0,0
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"3,477",7,1,0,0,5,0,0,0
,Baltimore Co.,"1,184",1,0,11,7,0,0,0,0
,Prince George’s Co.,"1,267",11,4,0,0,6,0,1,0
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,333",5,0,5,0,0,0,1,0
,Essex Co.,"1,505",0,0,0,0,0,0,0,0
,Hampden Co. Corr. Ctr.,"1,447",0,0,7,1,1,0,0,0
,"Plymouth Co./a,b","1,236",7,1,/,/,9,0,/,/
,Suffolk Co. House of Corr.,"1,140",1,0,11,0,9,0,6,0
Michigan,,,,,,,,,,
,Kent Co./a,"1,119",1,1,/,/,0,0,1,0
,Macomb Co.,"1,200",0,0,0,0,1,0,0,0
,Oakland Co.,"1,531",3,0,8,0,6,1,0,0
,"Wayne Co./a,b","2,266",3,0,/,/,4,0,/,/
Minnesota,,,,,,,,,,
,Hennepin Co./a,715,0,0,/,/,0,0,0,0
Mississippi,,,,,,,,,,
,Marshall Co.,100,0,0,0,0,0,0,0,0
Missouri,,,,,,,,,,
,St. Louis City,"1,814",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,410",/,/,0,0,0,0,0,0
Montana,,,,,,,,,,
,Yellowstone Co./a,441,1,0,/,/,0,0,2,0
Nebraska,,,,,,,,,,
,"Douglas Co./a,b","1,245",20,0,/,/,3,3,/,/
Nevada,,,,,,,,,,
,Clark Co.,"3,611",4,0,2,0,9,0,3,0
,Washoe Co.,"1,080",1,0,5,0,0,0,0,0
New Hampshire,,,,,,,,,,
,Hillsborough Co.,523,0,0,1,0,3,0,0,0
New Jersey,,,,,,,,,,
,Camden Co./a,"1,840",4,0,/,/,0,0,0,0
,Essex Co./a,"3,240",2,0,/,/,1,0,0,0
,Hudson Co./a,"1,805",4,0,/,/,1,0,0,0
,Monmouth Co.,835,0,0,0,0,0,0,0,0
,Passaic Co.,"1,077",0,0,0,0,0,0,1,0
New Mexico,,,,,,,,,,
,Bernalillo Co.,"2,277",0,0,4,2,3,0,0,0
New York,,,,,,,,,,
,Erie Co.,"1,286",6,1,0,0,5,0,0,0
,Monroe Co.,"1,407",0,0,3,2,0,0,0,0
,Nassau Co.,"1,360",0,0,0,0,0,0,0,0
,New York City,"11,692",18,0,13,1,74,2,14,0
,Suffolk Co.,"1,499",0,0,0,0,3,0,0,0
,Westchester Co.,"1,460",0,0,0,0,0,0,0,0
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"2,042",2,0,0,0,2,0,0,0
,"Wake Co./a,b","1,314",1,0,/,/,1,0,/,/
North Dakota,,,,,,,,,,
,Cass Co.,196,0,0,0,0,0,0,0,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,038",2,0,9,1,4,0,0,0
,Franklin Co./a,"2,075",1,0,/,/,0,0,0,0
,Hamilton Co.,"1,534",0,0,2,2,0,0,0,0
Oklahoma,,,,,,,,,,
,Oklahoma Co.,"2,582",10,0,0,0,3,0,0,0
,Tulsa Co.,"1,822",1,1,7,4,1,0,0,0
