Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt05.csv,,,,,,,,,,
"Table 5. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2017",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2017",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 5. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2017",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2017/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,272,050","3,293",152,"3,105",276,"5,687",330,"4,862",121
Federal,,"154,578",134,2,147,12,239,2,221,2
State,,"1,117,472","3,159",150,"2,958",264,"5,448",328,"4,641",119
,Alabama,"21,570",162,1,65,1,68,0,35,0
,Alaska,"4,091",7,0,18,3,5,0,7,2
,Arizona,"33,681",83,3,36,2,90,6,15,0
,Arkansas,"15,879",21,6,3,1,22,9,12,5
,California,"122,142",306,6,187,4,345,13,252,5
,Colorado,"15,900",51,2,54,8,51,17,0,0
,Connecticut,"13,134",24,1,31,4,13,1,4,0
,Delaware,"6,140",22,2,18,0,33,1,64,0
,Florida,"84,929",393,13,118,0,283,10,54,0
,Georgia/b,"40,882",0,0,445,12,463,16,793,6
,Hawaii,"3,536",23,1,20,4,12,1,9,1
,Idaho,"7,205",5,4,9,5,15,10,6,1
,Illinois,"40,703",83,2,174,19,198,0,459,5
,Indiana,"21,484",42,0,33,13,31,9,96,2
,Iowa,"9,000",36,9,49,9,38,4,20,0
,Kansas,"9,701",40,2,22,0,62,3,41,5
,Kentucky,"12,008",88,5,72,18,208,18,63,5
,Louisiana,"15,152",61,1,24,3,285,1,58,1
,Maine,"2,337",10,1,4,0,12,2,8,0
,Maryland,"19,770",48,0,16,0,67,0,76,0
,Massachusetts,"8,772",16,3,14,3,50,0,36,7
,Michigan,"39,666",72,3,92,22,240,10,756,10
,Minnesota,"9,056",9,1,3,0,7,0,6,0
,Mississippi/c,"10,426",107,0,/,/,22,2,27,0
,Missouri,"32,200",142,19,120,22,172,26,261,9
,Montana,"1,710",23,0,10,3,16,0,29,0
,Nebraska,"5,047",11,1,12,2,12,1,14,2
,Nevada/c,"13,030",74,2,/,/,57,2,45,1
,New Hampshire,"2,533",13,0,8,0,1,0,2,0
,New Jersey,"16,597",30,1,11,1,38,2,41,1
,New Mexico/d,"4,048",0,0,3,1,22,4,68,3
,New York,"49,514",60,1,18,1,224,13,72,1
,North Carolina,"36,633",31,3,193,9,288,22,75,2
,North Dakota,"1,335",7,1,1,1,8,4,5,4
,Ohio,"44,249",98,9,90,17,69,7,27,0
,Oklahoma,"19,931",34,3,6,0,39,14,7,1
,Oregon,"14,660",25,1,34,3,61,3,40,6
,Pennsylvania,"46,829",148,6,203,19,630,5,457,9
,Rhode Island,"2,683",18,3,29,5,7,0,22,3
,South Carolina/c,"19,385",69,3,/,/,32,4,12,0
,South Dakota,"3,856",10,0,27,0,6,0,16,1
,Tennessee,"14,391",6,0,49,0,58,11,90,6
,Texas,"137,926",355,12,369,17,711,30,45,0
,Utah,"4,960",5,1,11,5,1,1,2,0
,Vermont,"1,333",10,1,8,2,17,0,13,1
,Virginia,"28,167",13,0,35,1,45,5,216,7
,Washington,"17,674",200,10,63,7,166,17,61,2
,West Virginia/e,"5,922",0,0,62,2,47,5,72,2
,Wisconsin,"23,513",66,7,76,12,93,15,50,2
,Wyoming,"2,182",2,0,13,3,8,4,2,1
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2017 National Prisoner Statistics data collection.,,,,,,,,,,
b/Allegations of nonconsensual sexual acts were not recorded.,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
d/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
e/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2017.",,,,,,,,,,
