Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt14.csv,,,,,,,,,,
"Table 14. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2017",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics Survey of Sexual Victimization, 2017; and Mortality in Correctional Institutions, 2016",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 14. Sexual victimization reported by authorities in large local jail jurisdictions, by type of victimization, 2017",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction and facility,,Average daily population ,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"326,591","1,145",58,839,73,982,26,676,23
Alabama,,,,,,,,,,
,Jefferson Co.,777,2,0,0,0,0,0,0,0
Alaska,,,,,,,,,,
,Kodiak City,15,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,
,Maricopa Co./a,"7,664",/,/,/,/,/,/,/,/
,"Pima Co./b,c","1,860",0,0,/,/,0,0,/,/
Arkansas,,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,"10,181",0,0,0,0,6,0,29,0
California,,,,,,,,,,
,Alameda Co.,"2,053",8,2,10,0,5,0,5,0
,Contra Costa Co.,"1,506",18,3,0,0,0,0,0,0
,"Fresno Co./b,c","2,953",26,0,/,/,2,0,/,/
,Kern Co.,"2,102",16,0,9,3,1,0,1,0
,Los Angeles Co.,"16,500",14,0,0,0,0,0,0,0
,Orange Co.,"6,092",9,0,17,0,2,0,1,0
,Riverside Co.,"3,638",11,1,15,1,5,0,0,0
,"Sacramento Co., Main Jail/b","1,928",21,2,/,/,7,0,0,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr.","1,790",0,0,0,0,0,0,0,0
,San Bernardino Co.,"6,179",18,2,6,3,13,0,3,0
,San Diego Co.,"5,696",15,0,15,1,4,0,0,0
,San Francisco/b,"1,264",15,2,/,/,2,0,2,1
,San Joaquin Co./b,"1,441",2,0,2,0,1,0,1,0
,Santa Barbara Co.,"1,161",10,1,5,0,7,0,8,0
,Santa Clara Co.,"3,462",4,0,13,1,2,0,3,0
,Sonoma Co.,"1,092",4,1,0,0,4,1,3,0
,Stanislaus Co.,"1,154",0,0,5,1,4,0,4,0
,Tulare Co.,"1,570",0,0,0,0,0,0,0,0
,Ventura Co.,"1,591",0,0,1,1,0,0,0,0
Colorado,,,,,,,,,,
,Arapahoe Co.,"1,021",52,0,7,3,14,0,2,0
,Denver,"2,187",27,0,81,3,51,0,32,0
,El Paso Co.,"1,625",0,0,0,0,0,0,0,0
,Jefferson Co.,"1,256",0,0,0,0,0,0,0,0
District of Columbia,,"1,501",21,0,13,0,4,0,12,0
Florida,,,,,,,,,,
,Brevard Co.,"19,688",5,1,4,0,0,0,0,0
,Broward Co.,"3,758",5,0,14,0,17,0,48,0
,Escambia Co.,"1,285",0,0,0,0,0,0,0,0
,Hillsborough Co.,"3,012",0,0,3,1,0,0,0,0
,Jacksonville,"3,183",0,0,0,0,0,0,0,0
,Lee Co.,"1,597",0,0,0,0,0,0,0,0
,Leon Co.,"1,067",0,0,3,0,0,0,2,0
,Manatee Co.,"1,098",2,0,4,0,2,0,2,0
,Marion Co.,"1,170",3,0,5,0,1,0,0,0
,Miami-Dade Co. Corr. and Rehab.,"3,972",0,0,7,0,12,0,0,0
,Orange Co.,"2,512",7,1,7,0,8,0,9,0
,"Palm Beach Co./b,e","1,956",33,2,/,/,11,0,9,0
,Pasco Co.,"1,802",3,0,1,0,3,1,0,0
,Pinellas Co.,"2,882",1,0,8,0,11,2,3,0
,Polk Co.,"2,590",7,0,2,2,6,1,6,0
,St. Lucie Co./b,"1,272",36,2,/,/,1,0,1,0
,Volusia Co.,"1,454",1,0,6,0,0,0,0,0
Georgia,,,,,,,,,,
,Chatham Co. Adult Det. Ctr.,"1,736",1,/,/,/,/,/,/,/
,Clayton Co.,"1,602",0,0,0,0,0,0,0,0
,Cobb Co.,"2,039",7,0,9,1,0,0,3,1
,Dekalb Co./b,"1,836",10,0,/,/,1,0,0,0
,"Fulton Co./b,c","2,440",0,0,/,/,0,0,/,/
,Gwinnett Co.,"2,294",25,0,0,0,9,0,0,0
,Muscogee Co. Jail,"1,015",17,1,16,0,6,0,6,0
Idaho,,,,,,,,,,
,Ada Co.,960,0,0,0,0,0,0,0,0
Illinois,,,,,,,,,,
,Cook Co./a,"8,082",/,/,/,/,/,/,/,/
Indiana,,,,,,,,,,
,Marion Co.,"1,060",0,0,0,0,0,0,0,0
Iowa,,,,,,,,,,
,Polk Co.,"1,001",3,1,12,4,3,0,6,1
Kansas,,,,,,,,,,
,Sedgwick Co.,"1,433",4,0,7,4,7,1,8,1
Kentucky,,,,,,,,,,
,Lexington Fayette Urban Co./b,"1,340",0,0,/,/,0,0,0,0
,Louisville Metropolitan,"2,223",24,3,13,3,18,0,5,0
Louisiana,,,,,,,,,,
,Bossier Parish,"1,412",2,0,2,1,2,0,3,0
,Caddo Parish/b,"1,236",4,1,2,0,4,1,1,0
,Calcasieu Parish,"1,261",3,3,4,2,0,0,1,0
,"East Baton Rouge Parish/b,c,d","1,364",10,2,/,/,2,0,/,/
,Orleans Parish,"1,650",5,0,10,0,7,2,26,1
,Rapides Parish,304,12,1,0,0,1,0,1,0
,St. Tammany Parish,"1,050",0,0,0,0,0,0,0,0
Maine,,,,,,,,,,
,Cumberland Co.,438,4,0,5,0,0,0,1,1
Maryland,,,,,,,,,,
,Baltimore City Det. Ctr.,"1,936",14,0,2,0,5,0,3,0
,Baltimore Co.,"1,189",2,0,15,2,5,0,1,1
Massachusetts,,,,,,,,,,
,Bristol Co.,"1,290",0,0,0,0,0,0,0,0
,Essex Co.,"1,445",4,0,1,0,2,0,6,0
,Hampden Co. Corr. Ctr.,"1,373",1,0,14,2,1,0,0,0
,Middlesex Co.,"1,053",2,/,3,0,6,0,3,0
,Plymouth Co.,"1,052",6,1,2,1,7,0,5,0
,Worcester Co.,"1,095",0,0,0,0,0,0,0,0
Michigan,,,,,,,,,,
,Kent Co.,"1,114",0,0,6,2,3,0,0,0
,"Macomb Co./b,c","1,159",5,2,/,/,0,0,/,/
,Oakland Co.,"1,670",4,0,9,0,6,0,2,1
,Wayne Co.,"1,726",9,0,1,1,2,0,0,0
Minnesota,,,,,,,,,,
,Hennepin Co.,800,11,0,11,0,1,0,1,0
Mississippi,,,,,,,,,,
,"Harrison Co./b,c",863,8,0,/,/,0,0,/,/
Missouri,,,,,,,,,,
,St. Louis City,"1,360",0,0,0,0,0,0,0,0
,St. Louis Co.,"1,275",0,0,0,0,0,0,0,0
Montana,,,,,,,,,,
,"Yellowstone Co./b,c",490,5,2,/,/,3,0,0,/
Nebraska,,,,,,,,,,
,"Douglas Co./b,e","1,256",7,0,/,/,0,0,0,0
Nevada,,,,,,,,,,
,Clark Co.,"3,862",19,1,11,2,28,0,1,0
,Washoe Co.,"1,073",2,0,1,1,7,0,3,0
New Hampshire,,,,,,,,,,
,Hillsborough Co.,415,1,0,1,0,1,0,0,0
New Jersey,,,,,,,,,,
,Camden Co./c,985,1,0,0,0,2,0,2,0
,Essex Co.,"2,257",4,0,0,0,3,0,1,0
,Hudson Co.,"1,244",2,1,4,1,1,0,5,0
New Mexico,,,,,,,,,,
,Bernalillo Co.,"1,320",5,0,5,0,17,1,11,0
New York,,,,,,,,,,
,Erie Co.,"1,219",0,0,0,0,0,0,0,0
,Monroe Co.,"1,250",0,0,4,1,1,0,0,0
,"Nassau Co./b,c","1,192",0,0,/,/,0,0,/,/
,New York City,"9,225",43,0,72,1,302,1,133,1
,Suffolk Co.,"1,319",0,0,0,0,5,0,7,0
,"Westchester Co./b,c","1,048",3,0,/,/,47,0,/,/
North Carolina,,,,,,,,,,
,Mecklenburg Co.,"1,596",5,0,2,1,16,1,11,0
,Wake Co.,"1,220",0,0,1,0,2,0,1,0
North Dakota,,,,,,,,,,
,Cass Co.,276,1,0,2,0,3,1,3,0
Ohio,,,,,,,,,,
,Cuyahoga Co.,"2,262",1,0,13,1,8,0,4,0
,Franklin Co.,"1,997",15,1,5,/,6,1,/,/
,"Hamilton Co./b,c,f","1,619",4,0,1,0,0,0,/,/
Oklahoma,,,,,,,,,,
,Oklahoma Co./c,"2,079",6,0,30,0,18,0,/,/
,Tulsa Co.,"1,602",5,1,11,0,15,2,2,0
Oregon,,,,,,,,,,
,Multnomah Co.,"1,150",0,0,0,0,0,0,0,0
Pennsylvania,,,,,,,,,,
,Allegheny Co.,"2,481",5,0,3,0,7,0,5,1
,Bucks Co.,"1,174",5,2,6,1,4,0,10,1
,Dauphin Co.,"1,037",4,0,9,2,7,0,1,1
,Lehigh Co.,"1,157",0,/,0,/,2,1,1,/
,Montgomery Co.,"2,395",11,0,11,0,6,0,14,0
,Philadelphia Prison System/a,"7,399",99,0,57,1,25,0,25,0
,York Co./b,"2,244",11,0,2,2,17,1,21,1
South Carolina,,,,,,,,,,
,Charleston Co.,"1,197",0,0,0,0,3,3,4,1
,Greenville Co.,"1,447",0,0,0,0,0,0,0,0
