Bureau of Justice Statistics,,,,
Filename: ssvacf1218stt02.csv,,,,
"Table 2. Allegations and substantiated incidents of inmate-on-inmate sexual harassment, by type of adult correctional facility, 2016-18",,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018",,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 6/2/2021,,,,
,,,,
"Table 2. Allegations and substantiated incidents of inmate-on-inmate sexual harassment, by type of adult correctional facility, 2016-18",,,,
Type of facility ,,,Alleged,Substantiated
,Total,,"28,068","3,579"
Prisons,,,"16,060","1,722"
,Public/a,,"14,945","1,513"
,,Federal ,381,33
,,State,"14,564","1,480"
,Private,,"1,115",209
Jails/b,,,"11,881","1,834"
Other adult facilities/c,,,127,23
Note: Details may not sum to totals due to rounding. See appendix table 2 for standard errors. ,,,,
a/Includes state-operated facilities that are intended for adults but sometimes hold juveniles and facilities that are operated by the Federal Bureau of Prisons.,,,,
b/Includes local and private jails.,,,,
"c/Includes military prisons, dedicated U.S. Immigration and Customs Enforcement facilities, and Indian country jails. Excludes Indian country jails that house only juveniles.",,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2016-2018.",,,,
