Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt21.csv,,,,,,,,,
"Table 21. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2013-2015",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 21. Inmate-on-inmate sexual harassment reported by authorities in large local jail jurisdictions, 2013-2015",,,,,,,,,
,,Total,,2015,,2014,,2013,
Jurisdiction and facility,,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"2,352",457,"1,191",187,727,149,434,121
Alabama,,,,,,,,,
,Jefferson Co.,0,0,0,0,0,0,0,0
Alaska,,,,,,,,,
,City of Unalaska,0,0,...,...,0,0,0,0
,Kodiak City,0,0,0,0,0,0,...,...
Arizona,,,,,,,,,
,Maricopa Co.,88,5,51,5,25,0,12,0
,Pima Co.,11,5,0,0,1,1,10,4
,Pinal Co.,13,3,2,0,7,1,4,2
Arkansas,,,,,,,,,
,Pulaski Co. Reg’l Det. Fac.,0,0,0,0,0,0,0,0
California,,,,,,,,,
,Alameda Co.,21,2,8,0,11,0,2,2
,Contra Costa Co.,0,0,0,0,0,0,0,0
,Fresno Co.,5,0,2,0,3,0,0,0
,Kern Co.,17,8,10,5,7,3,0,0
,Los Angeles Co./a,1,0,/,/,0,0,1,0
,Monterey Co.,0,0,...,...,0,0,0,0
,Orange Co.,8,1,4,0,3,0,1,1
,Riverside Co.,8,3,6,1,2,2,0,0
,"Sacramento Co., Main Jail",1,0,1,0,0,0,0,0
,"Sacramento Co., Rio Cosumnes Corr. Ctr.",1,0,1,0,0,0,0,0
,San Bernardino Co.,21,2,19,1,2,1,0,0
,San Diego Co.,10,0,9,0,1,0,0,0
,San Francisco,0,0,0,0,0,0,0,0
,San Joaquin Co.,11,0,0,0,11,0,0,0
,"San Mateo Co./b,c",0,0,0,0,0,0,0,0
,Santa Barbara Co.,3,0,2,0,1,0,...,...
,Santa Clara Co.,7,3,7,3,0,0,0,0
,Sonoma Co.,25,10,16,8,3,0,6,2
,Stanislaus Co.,7,1,3,0,3,1,1,0
,Tulare Co.,2,1,0,0,2,1,0,0
,Ventura Co.,1,1,1,1,0,0,0,0
Colorado,,,,,,,,,
,Adams Co.,1,0,0,0,0,0,1,0
,Arapahoe Co.,28,10,9,1,14,5,5,4
,Denver/b,94,10,52,3,34,5,8,2
