Bureau of Justice Statistics,,,,,,,,,
Filename: ssvacf1218stt12.csv,,,,,,,,,
"Table 12. Inmate-on-inmate sexual harassment reported by federal and state prison authorities, 2013-2015",,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015",,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,
,,,,,,,,,
"Table 12. Inmate-on-inmate sexual harassment reported by federal and state prison authorities, 2013-2015",,,,,,,,,
,,Total,,2015,,2014,,2013,
Jurisdiction,,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"9,411","1,129","4,758",476,"3,099",397,"1,554",256
Federal,,158,8,77,3,59,4,22,1
State,,"9,253","1,121","4,681",473,"3,040",393,"1,532",255
,Alabama,330,16,132,3,104,4,94,9
,Alaska,35,6,15,2,13,4,7,0
,Arizona,69,1,37,0,19,0,13,1
,Arkansas,78,20,35,13,32,3,11,4
,California/a,43,3,39,3,4,0,/,/
,Colorado,68,13,22,0,26,4,20,9
,Connecticut,30,6,14,2,13,4,3,0
,Delaware/a,76,3,45,1,31,2,/,/
,Florida,"1,017",4,421,1,387,3,209,0
,Georgia/b,464,27,456,24,3,3,5,0
,Hawaii,29,5,17,2,8,1,4,2
,Idaho,47,23,5,4,16,7,26,12
,Illinois,257,25,113,19,122,4,22,2
,Indiana,70,12,30,2,29,5,11,5
,Iowa,136,46,54,14,48,19,34,13
,Kansas,262,25,104,11,91,8,67,6
,Kentucky,273,23,124,11,144,7,5,5
,Louisiana/a,39,3,39,3,0,0,/,/
,Maine,71,23,23,6,33,17,15,0
,Maryland,41,3,32,3,8,0,1,0
,Massachusetts,57,12,28,5,26,6,3,1
,Michigan,260,26,179,19,64,4,17,3
,"Minnesota/a,b,c",0,0,/,/,0,0,/,/
,Mississippi,22,1,5,0,17,1,0,0
,Missouri,666,72,267,29,238,27,161,16
,Montana,7,1,6,1,1,0,0,0
,Nebraska,138,13,52,5,53,7,33,1
,Nevada,245,18,108,6,113,8,24,4
,New Hampshire,27,6,10,4,10,1,7,1
,New Jersey/a,59,0,43,0,16,0,/,/
,New Mexico,23,3,11,2,0,0,12,1
,New York,77,3,35,0,28,2,14,1
,North Carolina,412,79,125,23,141,25,146,31
,North Dakota,79,36,34,16,29,6,16,14
,Ohioa,413,74,176,31,237,43,/,/
,Oklahoma,13,0,13,0,0,0,0,0
,Oregon,255,51,122,27,106,17,27,7
,Pennsylvania,332,48,206,27,96,19,30,2
,Rhode Island,16,6,5,1,4,4,7,1
,South Carolina,142,8,88,2,36,5,18,1
,South Dakota,137,45,48,8,46,16,43,21
,Tennessee,92,5,55,1,32,3,5,1
,"Texas/a,d",498,11,498,11,/,/,/,/
,Utah,15,1,5,1,5,0,5,0
,Vermont,66,27,38,18,15,5,13,4
,Virginia,187,21,60,7,65,7,62,7
,Washington,669,122,303,42,230,45,136,35
,West Virginia,395,43,153,7,146,15,96,21
,Wisconsin,491,80,236,41,147,25,108,14
,Wyoming,25,22,15,15,8,7,2,0
Note: Excludes the District of Columbia. Excludes privately operated facilities and facilities operated and administered by local governments.,,,,,,,,,
/Not reported.,,,,,,,,,
a/Allegations of inmate-on-inmate sexual harassment were not recorded in 2013.,,,,,,,,,
b/Counts of inmate-on-inmate sexual harassment in 2014 were based on substantiated incidents only.,,,,,,,,,
c/Allegations of inmate-on-inmate sexual harassment were not recorded in 2014.,,,,,,,,,
d/Allegations of inmate-on-inmate sexual harassment were not recorded in 2015.,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013-2015.",,,,,,,,,
