Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Percent of deaths of local jail inmates, by decedent characteristics, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Percent of deaths of local jail inmates, by decedent characteristics, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2000,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,90,%,,87.6,%,,88.7,%,,87.6,%,,87.6,%,,87.3,%,,87.1,%,,85.6,%,,85.9,%,,85.7,%,,85,%,,83.9,%
,Female,10,,,12.4,,,11.3,,,12.4,,,12.4,,,12.7,,,12.9,,,14.4,,,14.1,,,14.3,,,15,,,16.1,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,50.7,%,,53.6,%,,56.3,%,,57.7,%,,59.5,%,,58.4,%,,54,%,,59.5,%,,60.8,%,,58.9,%,,60.3,%,,59.3,%
,Black/a,34.2,,,32.4,,,28.9,,,29.6,,,26.5,,,28.4,,,28.7,,,26.1,,,23.7,,,24.8,,,25.1,,,24.8,
,Hispanic,13.2,,,11.2,,,11.5,,,10.1,,,11.9,,,10.5,,,15,,,11.3,,,13.1,,,12.9,,,12.1,,,13.4,
,American Indian/Alaska Native/a,1,,,1.2,,,2.3,,,1.2,,,0.7,,,1.4,,,1.2,,,1.2,,,1.3,,,1.7,,,1.4,,,1.3,
,Asian/Native Hawaiian/Other Pacific Islander/two or more races/a,0.9,,,1.7,,,1.1,,,1.3,,,1.5,,,1.3,,,1,,,1.8,,,1.1,,,1.6,,,1,,,1.3,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,0.9,%,,0.3,%,,0.3,%,,0.3,%,,0.2,%,,0.2,%,,0.3,%,,0.2,%,,0.2,%,,0.2,%,,0.3,%,,0,%
,18–24,9.9,,,9,,,9.1,,,8.9,,,9.2,,,8.7,,,7.8,,,8.3,,,7.4,,,7.5,,,7.6,,,6.1,
,25–34,20.5,,,17.5,,,18.4,,,20.9,,,23.3,,,19.8,,,22.2,,,21.9,,,23.3,,,22.7,,,23.9,,,21.2,
,35–44,29.4,,,25.8,,,24.7,,,22.4,,,22.4,,,20.8,,,22,,,22.1,,,21.3,,,20.6,,,21.8,,,25.2,
,45–54,26.6,,,28.8,,,27.2,,,28.2,,,25.6,,,28.6,,,26.8,,,25.2,,,24.9,,,24.7,,,22.5,,,20.5,
,55 or older,12.8,,,18.6,,,20.3,,,19.2,,,19.3,,,21.9,,,20.9,,,22.3,,,22.9,,,24.4,,,24,,,27,
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/b,29.2,%,,21.1,%,,26.2,%,,25.9,%,,25,%,,26.8,%,,23.7,%,,24.7,%,,24.6,%,,24.3,%,,24.7,%,,25.4,%
,Unconvicted/c,70.8,,,78.9,,,73.8,,,74.1,,,75,,,73.2,,,76.3,,,75.3,,,75.4,,,75.7,,,75.3,,,74.6,
Time served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 days or less,36.6,%,,37.2,%,,38.6,%,,38.5,%,,39.1,%,,36.7,%,,40.4,%,,40.8,%,,41.1,%,,40.5,%,,40.9,%,,40.4,%
,8–30,18.6,,,17.5,,,17.7,,,19.7,,,19.4,,,21,,,16.9,,,20.9,,,19.4,,,17.8,,,19.4,,,20.4,
,31–60,12.4,,,11.3,,,10.5,,,10.2,,,11,,,10.4,,,9,,,10.2,,,10.4,,,10.1,,,9.4,,,7.9,
,61–120,12.8,,,13,,,12.5,,,10.3,,,10.2,,,12.1,,,12.8,,,9.2,,,10.4,,,11.1,,,10.5,,,10.6,
,121–180,6.3,,,7.3,,,5.4,,,6.5,,,6.2,,,6.1,,,4.7,,,4.9,,,5.5,,,6.4,,,6.2,,,5.7,
,181 or more,13.3,,,13.7,,,15.3,,,14.9,,,14.1,,,13.8,,,16.3,,,13.9,,,13.3,,,14.1,,,13.6,,,15.2,
Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,40.5,%,,33.7,%,,38.6,%,,39.8,%,,41.2,%,,38,%,,37.4,%,,37.8,%,,36,%,,36.3,%,,39.6,%,,37.2,%
,Property,19.2,,,20.7,,,20,,,19.8,,,17.9,,,20.1,,,21.2,,,19.8,,,21.7,,,20.7,,,20.7,,,19.6,
,Drug,16.6,,,18.5,,,14.4,,,14.2,,,13.3,,,16.4,,,14.3,,,15.8,,,16.9,,,16.5,,,14.1,,,16.5,
,Public order/other/d,23.7,,,27,,,27,,,26.1,,,27.6,,,25.5,,,27.2,,,26.6,,,25.4,,,26.5,,,25.6,,,26.6,
Note: Data may have been revised from previously published statistics. Percentages are based on non-missing data. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
