Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stt08.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of state prisoner deaths, by decedent characteristics, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percent of state prisoner deaths, by decedent characteristics, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2001,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,96.5,%,,95.3,%,,95.6,%,,96.4,%,,95.7,%,,96.6,%,,96,%,,95.6,%,,96,%,,96.2,%,,96.7,%,,95.6,%
,Female,3.5,,,4.7,,,4.4,,,3.6,,,4.3,,,3.4,,,4.1,,,4.4,,,4.1,,,3.8,,,3.3,,,4.4,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,46.7,%,,52.8,%,,51.9,%,,52,%,,57.1,%,,53.3,%,,54.7,%,,55.1,%,,55.4,%,,55.3,%,,54.7,%,,53.2,%
,Black/a,40.5,,,33.5,,,35.1,,,34.7,,,31,,,33.2,,,31.7,,,31.8,,,32.3,,,32.2,,,32.2,,,32.7,
,Hispanic,11.2,,,11.6,,,10.9,,,11.1,,,9.8,,,11.3,,,11.6,,,10.6,,,10,,,10.2,,,11.1,,,12.2,
,American Indian/Alaska Native/a,0.9,,,1,,,0.9,,,1.1,,,1.1,,,1.2,,,1.1,,,1.2,,,1.4,,,1.4,,,1.2,,,1.2,
,Asian/Native Hawaiian/Other Pacific Islander/two or more races/a,0.6,,,1.1,,,0.8,,,0.8,,,0.8,,,0.9,,,1,,,1.3,,,0.9,,,0.8,,,0.7,,,0.7,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,<0.1,%,,<0.1,%,,0,%,,<0.1,%,,<0.1,%,,0,%,,0,%,,<0.1,%,,0,%,,<0.1,%,,<0.1,%,,0,%
,18–24,3,,,1.9,,,2,,,2.1,,,1.5,,,2.1,,,2,,,1.6,,,1.9,,,1.9,,,1.5,,,1.6,
,25–34,8.9,,,6.4,,,6.2,,,6.7,,,6,,,5.7,,,6.4,,,6.3,,,6.1,,,6.6,,,7.8,,,7.9,
,35–44,22.9,,,13.6,,,13.7,,,11.8,,,11.9,,,10.7,,,9.6,,,9.6,,,9.3,,,10.2,,,10.3,,,10.2,
,45–54,31.1,,,30.8,,,30.4,,,29.6,,,27.8,,,26.1,,,24.8,,,23.6,,,21.6,,,19.3,,,17.7,,,18.8,
,55 or older,33.9,,,47.2,,,47.7,,,49.7,,,52.9,,,55.5,,,57.3,,,58.8,,,61.1,,,61.6,,,62.7,,,61.5,
"Note: Data may have been revised from previously published statistics. Details may not sum to totals due to rounding and missing data. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology. Includes deaths in private state facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
