Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stt15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Average annual mortality rate per 100,000 state and federal prisoners, by cause of death and jurisdiction, 2001–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018, and National Prisoner Statistics, 2001–2018; and Federal Bureau of Prisons, 2001–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Average annual mortality rate per 100,000 state and federal prisoners, by cause of death and jurisdiction, 2001–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,All causes/a,Heart disease,,,Cancer,,,Liver disease,,,AIDS-related/b,,,Respiratory,,,All other illnesses/c,,,Suicide,,,Drug/alcohol intoxication,,,Accident/d,,,Homicide/e,
Federal/f,,232,...,,,...,,,...,,,6,,,...,,,202,,,11,,,...,,,4,,,6,
State/g,,269,70,,,74,,,24,,,9,,,17,,,42,,,17,,,5,,,3,,,6,
,Alabama,352,81,,,89,,,30,,,8,,,24,,,63,,,9,,,3,,,4,,,10,
,Alaska/h,194,46,,,31,,,19,,,1,!,,4,!,,26,,,37,,,11,,,10,!,,4,!
,Arizona,237,56,,,62,,,30,,,5,,,13,,,30,,,17,,,11,,,2,,,8,
,Arkansas,363,122,,,97,,,26,,,10,,,18,,,37,,,21,,,17,,,6,,,6,
,California,244,42,,,60,,,24,,,4,,,17,,,50,,,21,,,12,,,2,,,10,
,Colorado,217,42,,,44,,,35,,,0,!,,16,,,39,,,20,,,9,,,4,,,8,
,Connecticut/i,151,37,,,21,,,21,,,4,,,9,,,31,,,24,,,1,!,,2,!,,2,!
,Delaware/i,230,58,,,53,,,21,,,17,,,12,,,28,,,27,,,5,!,,1,!,,2,!
,Florida,313,67,,,92,,,24,,,18,,,21,,,55,,,10,,,10,,,4,,,8,
,Georgia,237,79,,,60,,,13,,,9,,,19,,,30,,,13,,,1,!,,2,,,8,
