Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt09.csv,,,,,,,,,,
"Table 9. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2013",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 9. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2013",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2013/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,351,726","2,405",160,"1,749",232,"3,059",248,"2,060",77
Federal,,"173,830",107,2,99,7,327,2,346,2
State,,"1,177,896","2,298",158,"1,650",225,"2,732",246,"1,714",75
,Alabama,"26,271",58,14,23,5,42,2,9,0
,Alaska,"5,054",18,1,0,0,3,0,0,0
,Arizona,"34,626",67,0,43,1,48,4,1,1
,Arkansas,"14,295",2,2,3,2,33,14,7,3
,California,"132,313",117,2,48,7,78,6,16,1
,Colorado,"16,286",5,3,3,3,11,9,4,4
,Connecticut,"16,594",26,0,33,1,23,2,29,0
,Delaware,"6,798",27,0,29,3,8,3,10,0
,Florida,"89,139",274,32,84,2,523,4,311,1
,Georgia,"45,801",39,3,0,0,32,14,4,0
,Hawaii/b,"3,752",23,3,0,0,6,1,1,0
,Idaho,"4,474",0,0,1,1,7,4,0,0
,"Illinois/c,d","48,653",/,/,32,2,10,1,/,/
,Indiana,"23,880",16,1,17,6,20,9,11,1
,Iowa,"8,707",36,3,38,15,33,7,19,2
,Kansas,"9,515",57,0,47,3,80,6,39,1
,Kentucky,"12,141",23,2,13,2,53,9,3,3
,Louisiana,"15,636",18,3,5,2,51,3,3,0
,Maine/b,"2,073",39,0,0,0,15,0,0,0
,Maryland,"21,676",37,0,9,1,20,0,2,0
,Massachusetts,"10,622",9,1,16,5,18,1,1,0
,Michigan,"43,704",55,4,37,4,44,9,245,0
,Minnesota,"9,391",25,1,5,0,12,3,4,2
,Mississippi/e,"11,197",34,0,0,0,25,0,/,/
,Missouri,"31,499",150,31,115,23,224,13,214,8
,Montana/e,"1,666",1,0,0,0,3,0,/,/
,Nebraska,"5,012",16,0,13,2,56,2,33,4
,Nevada,"12,789",0,0,41,0,53,0,44,0
,New Hampshire,"2,623",30,0,26,0,4,0,2,0
,New Jersey,"19,528",14,0,2,0,4,0,2,0
,New Mexico,"3,783",13,1,3,2,25,5,10,3
,New York,"53,312",47,3,8,1,199,4,85,0
,North Carolina,"37,146",51,2,41,1,148,15,135,6
,North Dakota/b,"1,257",0,0,0,0,0,0,1,0
,Ohio,"46,224",63,4,36,14,31,3,7,0
,Oklahoma,"18,313",28,2,0,0,25,8,2,0
,Oregon,"14,605",19,0,17,5,30,2,11,1
,Pennsylvania,"49,425",50,2,41,4,122,5,223,4
,Rhode Island,"3,168",6,1,6,4,0,0,0,0
,South Carolina/b,"21,519",37,0,/,/,26,6,9,0
,South Dakota,"3,596",21,1,16,10,5,3,8,2
,Tennessee,"15,655",37,1,49,0,34,1,12,1
,Texas,"140,839",298,4,480,16,84,7,/,/
,Utah,"5,382",9,5,9,2,5,3,3,0
,Vermont,"1,579",19,5,21,12,17,2,3,0
,Virginia,"28,431",25,0,17,5,74,11,31,7
,Washington,"17,760",227,12,84,15,184,26,56,6
,West Virginia,"5,708",30,2,25,3,44,9,34,4
,Wisconsin/f,"22,443",100,6,100,31,133,4,70,10
,Wyoming/e,"2,036",2,1,14,10,7,6,/,/
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2013 National Prisoner Statistics data collection.,,,,,,,,,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
c/Allegations of nonconsensual sexual acts were not recorded.,,,,,,,,,,
d/Allegations of staff sexual harassment were not recorded.,,,,,,,,,,
e/Allegations of staff sexual harassment could not be counted separately from allegations of staff sexual misconduct. ,,,,,,,,,,
f/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2013.",,,,,,,,,,
