Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt08.csv,,,,,,,,,,
"Table 8. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2014",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2014",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2014",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2014/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,347,577","3,118",166,"2,085",252,"4,546",263,"3,127",96
Federal,,"169,544",154,2,111,6,245,2,266,3
State,,"1,178,033","2,964",164,"1,974",246,"4,301",261,"2,861",93
,Alabama,"25,664",43,8,47,6,85,1,36,2
,Alaska,"5,278",15,1,8,3,8,0,6,0
,Arizona,"35,181",82,3,33,0,72,4,12,1
,Arkansas,"15,250",25,22,15,7,36,5,22,5
,California,"132,054",119,1,42,3,86,2,15,0
,Colorado,"16,687",33,0,36,5,91,9,45,5
,Connecticut,"16,167",25,2,62,5,20,2,21,4
,Delaware,"6,730",69,3,16,0,55,2,38,0
,Florida,"88,478",472,21,177,3,603,9,325,1
,"Georgia/b,c,d","44,818",2,2,/,/,1,1,0,0
,Hawaii,"3,965",7,1,18,3,21,5,6,1
,Idaho,"6,858",0,0,3,3,2,2,0,0
,Illinois/c,"48,278",96,4,/,/,31,5,26,3
,Indiana,"28,073",21,1,32,9,25,2,31,1
,Iowa,"8,845",37,4,43,10,41,6,39,4
,Kansas,"9,539",50,3,45,3,70,8,202,2
,Kentucky,"12,114",44,4,55,8,96,13,30,7
,Louisiana,"15,568",19,2,12,0,87,4,13,0
,Maine,"2,199",19,0,25,4,5,0,19,0
,Maryland,"21,236",50,1,10,0,35,0,20,0
,Massachusetts,"10,447",12,0,20,5,19,0,11,0
,Michigan,"43,359",73,6,54,6,98,26,282,6
,Minnesota,"9,576",30,0,6,0,12,1,21,4
,Mississippi,"8,955",28,0,2,2,14,1,13,0
,Missouri,"31,903",186,23,118,22,173,15,287,5
,Montana,"1,687",13,0,3,0,23,0,1,1
,Nebraska,"5,228",14,0,23,8,79,1,60,1
,Nevada/c,"12,693",70,1,/,/,82,0,87,1
,New Hampshire,"2,723",20,0,3,0,6,0,1,0
,New Jersey,"18,633",27,0,19,0,20,0,8,0
,New Mexico,"3,876",17,1,3,1,21,1,35,1
,New York,"52,362",47,2,18,4,233,8,165,3
,North Carolina,"37,318",64,2,31,6,186,19,151,7
,North Dakota,"1,325",1,0,16,5,8,2,4,2
,Ohio,"46,151",110,2,94,17,124,14,88,3
,Oklahoma,"19,126",41,4,0,0,23,5,3,0
,Oregon,"14,492",12,1,44,12,34,2,18,2
,Pennsylvania,"48,538",93,2,63,13,298,9,200,1
,Rhode Island,"3,133",6,3,1,1,3,0,0,0
,South Carolina,"20,933",34,0,19,2,47,10,6,0
,South Dakota,"3,497",12,2,13,5,4,2,8,0
,Tennessee/c,"15,699",44,0,/,/,59,3,65,1
,Texas,"139,879",316,5,439,13,668,20,127,4
,Utah/c,"5,307",19,4,/,/,0,0,0,0
,Vermont,"1,548",24,3,21,8,24,1,13,2
,Virginia,"28,480",39,3,26,2,132,10,78,6
,Washington,"17,180",267,3,84,12,218,18,90,3
,West Virginia,"5,867",31,4,82,7,100,5,51,0
,Wisconsin,"22,572",75,8,83,19,119,6,75,4
,Wyoming,"2,114",11,2,10,4,4,2,7,0
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2014 National Prisoner Statistics data collection.,,,,,,,,,,
b/Counts of nonconsensual sexual acts were based on substantiated incidents only.,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
d/Counts of staff sexual misconduct were based on substantiated incidents only.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2014.",,,,,,,,,,
