Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt07.csv,,,,,,,,,,
"Table 7. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2015",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2015",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 7. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2015",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2015/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,317,772","3,576",165,"2,776",233,"6,210",324,"4,971",100
Federal,,"160,688",142,6,146,6,188,4,264,3
State,,"1,157,084","3,434",159,"2,630",227,"6,022",320,"4,707",97
,Alabama,"24,814",109,12,67,3,63,3,24,0
,Alaska,"4,654",18,1,12,2,8,0,6,1
,Arizona,"35,657",83,0,47,0,102,6,17,3
,Arkansas,"15,784",9,7,44,7,19,6,22,2
,California,"125,620",217,1,103,4,186,1,114,3
,Colorado,"15,972",31,4,42,6,51,17,3,3
,Connecticut,"15,500",31,2,50,6,33,2,12,0
,Delaware,"6,437",48,3,25,1,47,1,66,0
,Florida,"86,998",544,10,227,0,"1,100",6,460,0
,Georgia/b,"44,049",304,23,/,/,272,7,650,3
,Hawaii,"4,073",18,2,15,2,30,8,9,1
,Idaho,"6,693",11,1,2,2,11,1,1,0
,Illinois,"46,240",26,2,119,10,42,3,44,2
,Indiana,"25,780",35,4,33,4,34,8,57,2
,Iowa,"8,864",39,9,17,6,30,5,24,3
,Kansas,"9,533",44,3,36,7,48,2,270,4
,Kentucky,"11,959",49,3,44,8,93,14,30,1
,Louisiana,"15,295",38,3,19,2,276,1,84,0
,Maine,"2,190",13,2,12,2,8,2,7,1
,Maryland,"20,921",52,2,14,0,63,0,61,0
,Massachusetts,"9,493",22,2,30,6,26,0,15,0
,Michigan,"42,628",87,8,94,7,171,20,683,8
,Minnesota,"9,578",22,0,6,0,23,1,11,0
,Mississippi,"10,021",49,2,2,2,12,0,12,0
,Missouri,"32,295",164,5,163,15,234,13,392,13
,Montana,"1,686",7,2,18,4,12,0,21,1
,Nebraska,"5,133",13,0,25,5,61,1,44,0
,Nevada,"13,235",0,0,83,0,122,7,170,1
,New Hampshire,"2,661",12,0,7,1,6,0,4,0
,New Jersey,"17,431",27,1,24,0,33,0,20,0
,New Mexico/b,"4,078",21,3,/,/,22,5,35,1
,New York,"51,485",51,0,19,2,261,8,190,0
,North Carolina,"36,859",28,0,75,5,263,33,120,6
,North Dakota,"1,345",0,0,24,1,6,2,15,2
,Ohio,"46,190",116,2,129,10,91,15,72,3
,Oklahoma,"19,875",37,0,1,0,27,11,14,2
,Oregon,"14,655",10,1,43,9,27,2,31,1
,Pennsylvania,"48,241",150,0,128,11,502,10,286,4
,Rhode Island,"2,982",7,1,9,1,0,0,0,0
,South Carolina/b,"20,443",74,10,/,/,58,2,57,0
,South Dakota,"3,514",27,0,19,5,3,1,35,4
,Tennessee,"14,628",23,0,31,0,63,2,102,4
,Texas,"138,199",334,2,431,17,844,27,75,0
,Utah,"4,831",10,4,13,6,1,1,0,0
,Vermont,"1,509",6,0,26,8,22,0,15,0
,Virginia,"28,862",34,1,27,2,171,10,38,3
,Washington,"17,222",278,12,97,7,245,34,133,8
,West Virginia,"5,925",34,1,61,1,99,12,88,4
,Wisconsin,"22,914",70,6,107,21,101,10,67,2
,Wyoming,"2,133",2,2,10,9,0,0,1,1
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2015 National Prisoner Statistics data collection.,,,,,,,,,,
b/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2015.",,,,,,,,,,
